# Age_Ma	CCD_m  (closed uncertainty-envelope polygon)
57.000000	-3311.601000
56.000000	-3429.457000
55.000000	-3340.504000
54.000000	-3259.991000
53.000000	-2883.995500
52.000000	-2508.000000
51.000000	-2687.000000
50.000000	-2788.200000
49.000000	-2825.800000
48.000000	-2884.200000
47.000000	-2998.200000
46.000000	-3124.200000
45.000000	-3358.800000
44.000000	-3589.200000
43.000000	-3653.800000
42.000000	-3779.000000
41.000000	-3699.800000
40.000000	-3555.000000
39.000000	-3667.000000
38.000000	-3640.800000
37.000000	-3655.800000
36.000000	-3819.500000
35.000000	-3967.200000
34.000000	-4124.200000
33.000000	-4250.200000
32.000000	-4320.000000
31.000000	-4364.800000
30.000000	-4336.800000
29.000000	-4182.000000
28.000000	-4140.500000
27.000000	-4224.200000
26.000000	-4219.500000
25.000000	-4152.800000
24.000000	-4104.800000
23.000000	-4037.700000
22.000000	-3993.000000
21.000000	-3991.500000
20.000000	-3940.000000
19.000000	-3892.800000
18.000000	-3912.200000
17.000000	-3929.200000
16.000000	-3901.500000
15.000000	-3904.000000
14.000000	-3952.000000
13.000000	-3989.000000
12.000000	-3986.500000
11.000000	-3974.800000
10.000000	-4010.200000
9.000000	-4065.200000
8.000000	-4114.800000
7.000000	-4158.000000
6.000000	-4235.800000
5.000000	-4282.200000
4.000000	-4223.800000
3.000000	-4141.200000
2.000000	-4191.000000
1.000000	-4364.500000
0.000000	-4392.000000
