# Age_Ma	Sea_level_m
20.700000	119.205918
20.800000	116.928659
20.900000	107.735153
21.000000	102.580337
21.100000	108.782504
21.200000	113.342284
21.300000	117.188403
21.400000	120.272565
21.500000	123.010515
21.600000	125.748465
21.700000	128.345480
21.800000	129.517485
21.900000	130.689489
22.000000	131.861494
22.100000	133.033498
22.200000	133.408444
22.300000	133.632551
22.400000	133.856657
22.500000	134.080763
22.600000	133.069622
22.700000	132.005380
22.800000	130.941138
22.900000	129.876897
23.000000	128.019130
23.100000	124.015906
23.200000	118.630855
23.300000	110.428365
23.400000	89.479034
23.500000	40.598406
23.600000	34.335596
23.700000	33.586111
23.800000	38.946468
23.900000	69.347584
24.000000	82.973761
24.100000	85.197607
24.200000	84.579915
24.300000	80.903666
24.400000	71.156150
24.500000	57.266050
24.600000	47.419418
24.700000	53.161169
24.800000	57.471678
24.900000	61.451050
25.000000	65.430422
25.100000	69.417697
25.200000	74.187394
25.300000	77.749063
25.400000	79.163125
25.500000	80.577188
25.600000	80.845714
25.700000	80.827857
25.800000	80.810000
25.900000	78.985000
26.000000	77.160000
26.100000	73.847273
26.200000	69.542727
26.300000	62.786207
26.400000	52.351724
26.500000	41.917241
26.600000	33.805556
26.700000	31.121000
26.800000	30.506000
26.900000	31.760000
27.000000	35.618000
27.100000	51.698000
27.200000	58.567778
27.300000	59.297407
27.400000	60.027037
27.500000	60.756667
27.600000	61.486296
27.700000	61.883043
27.800000	60.948261
27.900000	60.013478
28.000000	59.078696
28.100000	58.143913
28.200000	57.209130
28.300000	55.688084
28.400000	52.088467
28.500000	48.488851
28.600000	44.889234
28.700000	41.289617
28.800000	37.690000
28.900000	24.436154
29.000000	9.699378
29.100000	6.093161
29.200000	2.979150
29.300000	2.268265
29.400000	1.557381
29.500000	1.482596
29.600000	3.537363
29.700000	5.592130
29.800000	7.646897
29.900000	9.701663
30.000000	40.471429
30.100000	138.242857
30.200000	138.468571
30.300000	155.340000
30.400000	168.530543
30.500000	173.132353
30.600000	177.381808
30.700000	178.068566
30.800000	178.755323
30.900000	177.105771
31.000000	175.414779
31.100000	174.261646
31.200000	174.416129
31.300000	178.103823
31.400000	181.154167
31.500000	184.040108
31.600000	186.926049
31.700000	189.811990
31.800000	192.418494
31.900000	193.543384
32.000000	194.668274
32.100000	195.793164
32.200000	196.275126
32.300000	196.284023
32.400000	196.292920
32.500000	196.071743
32.600000	194.954326
32.700000	193.836909
32.800000	192.719492
32.900000	188.805697
33.000000	184.706461
33.100000	180.607226
33.200000	164.109437
33.300000	126.456645
33.400000	104.113979
33.500000	103.021748
33.600000	103.470344
33.700000	111.343087
33.800000	147.620654
33.900000	150.912078
34.000000	150.379945
34.100000	146.472556
34.200000	133.553335
34.300000	132.333171
34.400000	137.262887
34.500000	139.669358
34.600000	140.675071
34.700000	141.680784
34.800000	142.686497
34.900000	140.790104
35.000000	138.730647
35.100000	136.671189
35.200000	129.166570
35.300000	127.289692
35.400000	125.412815
35.500000	126.039686
35.600000	127.659096
35.700000	129.278506
35.800000	130.991667
35.900000	132.725408
36.000000	132.183043
36.100000	130.512409
36.200000	128.841775
36.300000	123.645992
36.400000	109.322703
36.500000	100.803167
36.600000	98.987618
36.700000	97.172070
36.800000	95.356521
36.900000	119.653200
37.000000	159.409222
37.100000	165.139567
37.200000	170.785969
37.300000	174.665592
37.400000	175.265061
37.500000	175.524490
37.600000	175.783919
37.700000	175.659834
37.800000	174.853411
37.900000	174.046988
38.000000	173.240565
38.100000	172.434142
38.200000	172.130896
38.300000	172.476320
38.400000	172.821743
38.500000	173.167167
38.600000	174.227619
38.700000	175.855490
38.800000	177.483362
38.900000	187.201301
39.000000	188.697078
39.100000	190.192855
39.200000	191.688632
39.300000	192.320740
39.400000	192.210549
39.500000	192.100357
39.600000	191.096234
39.700000	186.019754
39.800000	180.943274
39.900000	170.494307
40.000000	159.798176
40.100000	150.431182
40.200000	144.657781
40.300000	142.988134
40.400000	141.801329
40.500000	140.614525
40.600000	139.663752
40.700000	139.682922
40.800000	139.702091
40.900000	139.875185
41.000000	142.234047
41.100000	144.592910
41.200000	148.060980
41.300000	155.965877
41.400000	163.870775
41.500000	170.621603
41.600000	174.940413
41.700000	175.807178
41.800000	176.673944
41.900000	177.540709
42.000000	177.528519
42.100000	176.653815
42.200000	175.779111
42.300000	174.904407
42.400000	173.976188
42.500000	173.027217
42.600000	172.341919
42.700000	172.939854
42.800000	173.537790
42.900000	174.712016
43.000000	178.569201
43.100000	182.426386
43.200000	186.283571
43.300000	190.038970
43.400000	193.776486
43.500000	197.514002
43.600000	200.848768
43.700000	202.440533
43.800000	204.032297
43.900000	205.624061
44.000000	207.215825
44.100000	208.546902
44.200000	208.871979
44.300000	209.197056
44.400000	209.522133
44.500000	209.847211
44.600000	210.172288
44.700000	210.497365
44.800000	210.822442
44.900000	209.925124
45.000000	208.914581
45.100000	207.904037
45.200000	206.893494
45.300000	205.882951
45.400000	203.673917
45.500000	200.927220
45.600000	198.224020
45.700000	195.535618
45.800000	193.820959
45.900000	192.874531
46.000000	191.928104
46.100000	192.769475
46.200000	193.841387
46.300000	194.913299
46.400000	195.985212
46.500000	197.774016
46.600000	200.200915
46.700000	202.627813
46.800000	205.054712
46.900000	207.481611
