# Age_Ma	Sea_level_m
77.100000	245.856017
77.200000	246.136326
77.300000	246.405293
77.400000	246.655384
77.500000	246.887021
77.600000	247.105231
77.700000	247.301109
77.800000	247.475539
77.900000	247.634420
78.000000	247.767242
78.100000	247.876339
78.200000	247.969175
78.300000	248.036810
78.400000	248.085237
78.500000	248.120145
78.600000	248.133347
78.700000	248.129133
78.800000	248.111894
78.900000	248.071662
79.000000	248.012330
79.100000	247.938240
79.200000	247.837082
79.300000	247.714005
79.400000	247.573511
79.500000	247.400296
79.600000	247.201135
79.700000	246.980888
79.800000	246.720664
79.900000	246.429412
80.000000	246.112491
80.100000	245.752792
80.200000	245.361543
80.300000	244.944923
80.400000	244.489466
80.500000	243.997866
80.600000	243.479047
80.700000	242.922559
80.800000	242.322154
80.900000	241.691060
81.000000	241.023680
81.100000	240.310712
81.200000	239.577441
81.300000	238.825747
81.400000	238.057097
81.500000	237.287450
81.600000	236.519737
81.700000	235.763909
81.800000	235.030873
81.900000	234.320132
82.000000	233.641774
82.100000	233.018404
82.200000	232.435191
82.300000	231.895451
82.400000	231.424275
82.500000	230.987186
82.600000	230.583244
82.700000	230.232132
82.800000	229.908670
82.900000	229.609910
83.000000	229.348875
83.100000	229.109861
83.200000	228.888514
83.300000	228.692880
83.400000	228.513018
83.500000	228.347485
83.600000	228.211431
83.700000	228.054315
83.800000	227.887149
83.900000	227.741607
84.000000	227.606399
84.100000	227.479081
84.200000	227.359785
84.300000	227.248825
84.400000	227.150242
84.500000	227.061972
84.600000	226.983661
84.700000	226.915675
84.800000	226.862221
84.900000	226.822085
85.000000	226.794155
85.100000	226.778854
85.200000	226.780387
85.300000	226.798935
85.400000	226.832302
85.500000	226.880980
85.600000	226.948996
85.700000	227.038503
85.800000	227.145700
85.900000	227.271013
86.000000	227.417798
86.100000	227.590367
86.200000	227.783274
86.300000	227.997076
86.400000	228.234381
86.500000	228.502973
86.600000	228.795433
86.700000	229.112525
86.800000	229.455390
86.900000	229.837142
87.000000	230.247454
87.100000	230.687370
87.200000	231.157985
87.300000	231.672453
87.400000	232.224611
87.500000	232.812959
87.600000	233.438630
87.700000	234.109555
87.800000	234.826014
87.900000	235.578952
88.000000	236.368048
88.100000	237.193011
88.200000	238.066083
88.300000	238.974813
88.400000	239.918466
88.500000	240.897121
88.600000	241.913491
88.700000	242.974760
88.800000	244.071645
88.900000	245.204687
89.000000	246.374526
89.100000	247.583523
89.200000	248.838133
89.300000	250.114162
89.400000	251.397064
89.500000	252.671841
89.600000	253.923676
89.700000	255.124636
89.800000	256.258229
89.900000	257.315321
90.000000	258.284819
90.100000	259.157679
90.200000	259.882597
90.300000	260.481187
90.400000	260.956455
90.500000	261.302892
90.600000	261.459625
90.700000	261.425763
90.800000	261.205193
90.900000	260.784145
91.000000	260.120623
91.100000	259.284673
91.200000	258.362359
91.300000	257.395760
91.400000	256.425255
91.500000	255.499112
91.600000	254.617815
91.700000	253.782150
91.800000	252.995517
91.900000	252.269188
92.000000	251.619999
92.100000	251.036750
92.200000	250.523400
92.300000	250.083886
92.400000	249.762390
92.500000	249.531526
92.600000	249.393769
92.700000	249.349755
92.800000	249.415205
92.900000	249.546263
93.000000	249.725055
93.100000	249.941607
93.200000	250.187810
93.300000	250.440016
93.400000	250.685961
93.500000	250.918631
93.600000	251.126092
93.700000	251.303129
93.800000	251.451294
93.900000	251.567652
94.000000	251.641113
94.100000	251.660455
94.200000	251.631610
94.300000	251.551587
94.400000	251.410759
94.500000	251.200773
94.600000	250.942265
94.700000	250.636932
94.800000	250.285035
94.900000	249.873443
95.000000	249.422373
95.100000	248.933121
95.200000	248.406974
95.300000	247.833368
95.400000	247.224605
95.500000	246.584257
95.600000	245.913283
95.700000	245.206867
95.800000	244.466484
95.900000	243.697339
96.000000	242.898502
96.100000	242.068411
96.200000	241.193097
96.300000	240.282797
96.400000	239.335785
96.500000	238.350173
96.600000	237.319030
96.700000	236.233470
96.800000	235.100473
96.900000	233.916977
97.000000	232.679572
97.100000	231.382409
97.200000	230.006745
97.300000	228.562222
97.400000	227.049004
97.500000	225.473096
97.600000	223.844861
97.700000	222.175837
97.800000	220.476382
97.900000	218.765287
98.000000	217.056140
98.100000	215.361301
98.200000	213.692933
98.300000	212.062496
98.400000	210.479899
98.500000	208.956905
98.600000	207.480949
98.700000	206.047483
98.800000	204.653757
98.900000	203.297288
99.000000	201.976062
99.100000	200.696340
99.200000	199.446774
99.300000	198.225784
99.400000	197.031924
99.500000	195.863870
99.600000	194.725946
99.700000	193.612762
99.800000	192.521403
99.900000	191.450888
100.000000	190.400229
100.100000	189.372884
100.200000	188.364252
100.300000	187.371865
100.400000	186.394896
100.500000	185.432551
100.600000	184.488163
100.700000	183.556622
100.800000	182.636816
100.900000	181.728091
101.000000	180.830449
101.100000	179.945128
101.200000	179.068406
101.300000	178.199726
101.400000	177.338543
101.500000	176.485519
101.600000	175.639573
101.700000	174.798982
101.800000	173.963429
101.900000	173.132722
102.000000	172.309632
102.100000	171.493481
102.200000	170.684734
102.300000	169.884048
102.400000	169.093380
102.500000	168.315327
102.600000	167.548268
102.700000	166.792898
102.800000	166.049913
102.900000	165.324803
103.000000	164.615581
103.100000	163.921946
103.200000	163.244636
103.300000	162.587174
103.400000	161.953317
103.500000	161.339274
103.600000	160.745759
103.700000	160.173507
103.800000	159.633128
103.900000	159.116139
104.000000	158.623193
104.100000	158.154953
104.200000	157.721244
104.300000	157.318215
104.400000	156.943752
104.500000	156.598766
104.600000	156.292352
104.700000	156.025886
104.800000	155.794028
104.900000	155.597987
105.000000	155.446104
105.100000	155.345316
105.200000	155.282500
105.300000	155.255910
105.400000	155.266951
105.500000	155.318817
105.600000	155.397869
105.700000	155.502428
105.800000	155.632035
105.900000	155.790972
106.000000	155.968068
106.100000	156.161936
106.200000	156.371197
106.300000	156.599362
106.400000	156.838415
106.500000	157.087880
106.600000	157.347334
106.700000	157.619938
106.800000	157.902085
106.900000	158.192807
107.000000	158.491821
107.100000	158.801098
107.200000	159.118818
107.300000	159.443536
107.400000	159.774990
107.500000	160.114203
107.600000	160.460710
107.700000	160.812760
107.800000	161.170107
107.900000	161.533073
108.000000	161.902096
108.100000	162.275304
108.200000	162.652468
108.300000	163.033443
108.400000	163.419120
108.500000	163.807703
108.600000	164.198971
108.700000	164.592738
108.800000	164.989997
108.900000	165.391587
109.000000	165.798343
109.100000	166.211273
109.200000	166.633988
109.300000	167.067932
109.400000	167.512829
109.500000	167.969765
109.600000	168.442269
109.700000	168.934610
109.800000	169.444173
109.900000	169.972189
110.000000	170.520476
