age,ridge_length,ridge_vel_mean,ridge_vel_std,ridge_surface_area,subduction_length,subduction_vel_mean,subduction_vel_std,subduction_surface_area,age_mean,age_std,accretion_mean,accretion_std,slab_dip_mean,slab_dip_std,min_continental_arc_length,mean_continental_arc_length,max_continental_arc_length,min_carb_plat_continental_arc_length,mean_carb_plat_continental_arc_length,max_carb_plat_continental_arc_length,min_combined_arc_length,mean_combined_arc_length,max_combined_arc_length,global_age_mean,global_age_std
73,86669.54012189015,5.700346098895319,3.8958576346996447,4.813626122767616,69725.38018230218,5.790076004724852,4.972252028856298,4.888999637016246,48.55921957331273,34.156967807013714,6.7915965662948246,29.248541346213518,30.265454159085806,11.780912931389588,36032.63912638015,40819.02697545153,43207.41697165535,8529.433701358716,11807.46476954788,14716.98067562249,8529.433701358716,11807.46476954788,14716.98067562249,57.85820388793945,63.38520050048828
72,86913.39928953134,5.779080265337472,4.077414208344813,4.891619462351656,69682.35649665131,5.8066709817659925,4.929395528344896,4.919818479042652,48.55921957331273,34.190740750052946,5.940729383971465,28.996444284381734,30.265454159085806,11.828180513010219,36032.63912638015,40901.31586724386,43207.41697165535,8695.2109165389,11866.49470435284,14716.98067562249,8695.2109165389,11866.49470435284,14716.98067562249,58.265655517578125,63.67473220825195
71,88125.5109018439,6.0226488798566455,4.0898307728323875,4.977464572336906,69604.6930692239,5.832602787586719,4.929395528344896,5.004832450472385,48.55921957331273,34.190740750052946,5.843111871964753,28.996444284381734,30.265454159085806,12.001180887370076,37071.14376441253,41972.97018490797,44499.32248712161,9739.959185211424,12530.39981127001,16031.377022326182,9739.959185211424,12530.39981127001,16031.377022326182,58.68154525756836,63.98838806152344
70,88125.5109018439,6.112774711759204,4.297912684750481,4.9785259101734525,69604.6930692239,5.897868681182665,4.972252028856298,5.022877481252563,48.55921957331273,34.190740750052946,5.690571837725191,29.248541346213518,30.265454159085806,12.09382176585598,37974.10673207188,42738.81606965348,44994.964318417326,10073.381204760855,13245.948705322506,16499.288515186294,10073.381204760855,13245.948705322506,16499.288515186294,59.13052749633789,64.35343933105469
69,88125.5109018439,6.112774711759204,4.298093416120671,4.9785259101734525,69604.6930692239,5.897868681182665,5.092432676942865,5.022877481252563,48.55921957331273,34.190740750052946,5.690571837725191,29.95548633495803,30.210515511252833,12.505871376195914,38500.42018943223,43105.86917005458,45424.28666570397,10178.632320790684,13359.751904229335,16545.91011736679,10178.632320790684,13359.751904229335,16545.91011736679,59.536651611328125,64.6190185546875
68,88125.5109018439,6.12278452156701,4.408526086886341,5.010297303984271,69682.35649665131,5.983357665398977,5.1018828132553145,5.0419685195971535,48.47487792074764,34.190740750052946,5.306654816572568,30.011075372090083,30.265454159085806,12.505871376195914,38574.820140832715,43155.882629874184,45439.514516844894,10795.71295209586,13442.102825024023,17019.857763557477,10795.71295209586,13442.102825024023,17019.857763557477,60.194393157958984,65.11943054199219
67,88125.5109018439,6.12278452156701,4.539927229825572,5.0267640130702445,69725.38018230218,5.90849577710631,5.208566516200118,5.08468606596894,47.7364689209432,34.233601061454344,5.306654816572568,30.638626565883037,30.265454159085806,12.505871376195914,38709.23687327451,43203.3813831514,45578.82350422432,11000.24771861792,13706.745909560788,17146.326597251198,11000.24771861792,13706.745909560788,17146.326597251198,60.5946044921875,65.5431137084961
66,88125.5109018439,6.12278452156701,4.893898599731463,5.022840062394815,71579.57179004532,5.897868681182665,5.363414396182406,5.074811476470879,47.7364689209432,34.23920757587322,5.690571837725191,31.549496448131798,30.265454159085806,12.505871376195914,38894.73665185235,43523.961347226075,45894.346765636685,11008.598417720092,14025.374158865,17421.92454667762,11008.598417720092,14025.374158865,17421.92454667762,61.10765075683594,65.91736602783203
65,87590.50738512386,6.12278452156701,4.893898599731463,5.010297303984271,72297.53487514137,5.832602787586719,5.363414396182406,5.0419685195971535,47.7364689209432,34.48783962001534,5.843111871964753,31.549496448131798,30.265454159085806,12.524582471736291,38894.73665185235,43523.961347226075,45894.346765636685,11850.360360454262,14411.739114041016,18029.917249323353,11850.360360454262,14411.739114041016,18029.917249323353,61.53131103515625,66.0875015258789
64,86613.72814750113,6.12278452156701,4.893898599731463,5.010297303984271,72475.39879134008,5.832602787586719,5.363414396182406,5.0419685195971535,47.7364689209432,34.48783962001534,5.843111871964753,31.549496448131798,30.17358586671702,12.524582471736291,39119.80901563129,43856.76072233893,46235.22356319939,12159.322472753518,15373.42754273462,18886.943396043385,12159.322472753518,15373.42754273462,18886.943396043385,62.196693420410156,66.54440307617188
63,86613.72814750113,6.080733104040884,4.893898599731463,5.010297303984271,73096.73706553063,5.832602787586719,5.363414396182406,5.0419685195971535,47.7364689209432,35.16276547072986,6.275449054864583,31.549496448131798,29.987757555357266,12.505871376195914,39250.14940406932,45299.41810100867,48060.39202988036,12159.322472753518,15629.088956210786,19159.244206267096,12159.322472753518,15629.088956210786,19159.244206267096,62.8159294128418,66.94562530517578
62,86474.42293885726,6.076093364332276,4.893898599731463,5.010297303984271,75819.44386848215,5.733173660673022,5.363414396182406,5.0419685195971535,48.132253331572755,35.716284135638986,8.54876468656193,31.549496448131798,29.987757555357266,12.266995286338057,40544.90897100875,46207.96622893981,49211.184250154125,12159.322472753518,15879.505131570686,19656.302033580912,12159.322472753518,15879.505131570686,19656.302033580912,63.45296096801758,67.20211791992188
61,85209.09895956161,5.955413752358577,4.893898599731463,4.930656076691375,76322.98448675248,5.346710003284474,5.363414396182406,5.009849967013015,48.1661391467212,36.0741366371451,11.362040565323388,31.549496448131798,29.987757555357266,12.167384131389673,41006.28316273989,46207.96622893981,49259.903330708774,12159.322472753518,15975.13950425736,19925.817531371013,12159.322472753518,15975.13950425736,19925.817531371013,63.979679107666016,67.42096710205078
60,84932.53751185682,5.238751718726888,4.579628186707082,4.637188980348843,77190.95181875741,4.868453103895024,5.181815994578758,4.683453447073968,49.20023492292878,36.63986370808611,13.195932626177997,30.481270556345635,30.265454159085806,12.050990738754404,41229.68639161544,46892.45382603283,49259.903330708774,12266.457996307474,16091.791338625717,19925.817531371013,12266.457996307474,16091.791338625717,19925.817531371013,64.06482696533203,67.52950286865234
