,crust,crust,crust,lithosphere,lithosphere,lithosphere,sediments,sediments,sediments,serpentinite,serpentinite,serpentinite,organic_sediments,organic_sediments,organic_sediments,total,total,total
,min,mean,max,min,mean,max,min,mean,max,min,mean,max,min,mean,max,min,mean,max
time,,,,,,,,,,,,,,,,,,
19,1884616758.6653795,2237853220.456997,2672929837.9332533,683303094.0828817,1383723522.687247,2220263469.9380407,8028432006.987763,8028432006.987763,8028432006.987763,187958635.6945997,212123874.36615035,325429203.2213877,0.0,331340680.5582396,726811815.4180739,10784310495.430624,12193473305.056396,13973866333.49852
20,1884616758.6653795,2237853220.456997,2672929837.9332533,684140739.1253024,1383492952.2240176,2212089124.866265,7890412768.563764,7890412768.563764,7890412768.563764,184780693.65993363,208688430.78760594,321803374.7834179,0.0,331079891.28195465,726239761.521707,10643950960.01438,12051527263.314337,13823474867.668407
21,1884508038.0506775,2237789567.8026357,2673053284.17679,688591609.0088553,1383279256.84942,2211656482.185375,7728761742.777842,7728761742.777842,7728761742.777842,184248662.90765926,208020296.62082648,320955565.12074363,0.0,328558763.15460646,720709544.984298,10486110052.745035,11886409627.20533,13655136619.245049
22,1885457057.4556217,2239376890.700539,2675027186.8904877,689235483.9128252,1382781959.5880504,2209666046.024796,7595544770.3957405,7595544770.3957405,7595544770.3957405,183851919.95465088,207552496.44900385,320382466.38131315,0.0,326397055.0624672,715967733.6854119,10354089231.718838,11751653172.1958,13516588203.377748
23,1885457057.4556217,2239376890.700539,2675027186.8904877,689969995.5513775,1382761345.915432,2207621411.276932,7441132080.841201,7441132080.841201,7441132080.841201,183176406.82905877,206744090.490211,319292512.94248277,0.0,325087369.2846864,713094874.5599573,10199735540.67726,11595101777.23207,13356168066.51106
24,1885457057.4556217,2239376890.700539,2675027186.8904877,690465308.801413,1382710436.5907688,2204816528.784298,7268849698.303941,7268849698.303941,7268849698.303941,183070684.47423893,206605472.55292264,318033994.28774214,0.0,323025153.42012036,708571304.2763929,10027842749.035215,11420567651.568293,13175298712.542862
25,1885457057.4556217,2239376890.700539,2675027186.8904877,690543226.7109764,1382710436.5907688,2204511060.7094307,7111433531.7889595,7111433531.7889595,7111433531.7889595,182665958.31813067,206158399.23408568,317390322.0572623,0.0,321966557.68008125,706249223.2982427,9870099774.27369,11261645815.994432,13014611324.744383
26,1885457057.4556217,2239376890.700539,2675027186.8904877,692242098.2257274,1382710436.5907688,2202309098.162692,6948928558.69998,6948928558.69998,6948928558.69998,182065747.32390666,205490823.4543081,317228157.0653991,0.0,319204426.46287453,700190354.8217893,9708693461.705235,11095711135.90847,12843683355.640347
27,1885457057.4556217,2239376890.700539,2675027186.8904877,692939311.2937229,1381888401.7137914,2201426852.5028925,6774258648.270559,6774258648.270559,6774258648.270559,181956974.23880434,205421318.71315062,317033206.4858105,0.0,317005742.9297682,695367436.1040077,9534611991.258709,10917951002.327808,12663113330.25376
28,1885457057.4556217,2239376890.700539,2675027186.8904877,693734781.3078408,1381863659.6896167,2199490476.1768265,6589338388.373497,6589338388.373497,6589338388.373497,181699808.151753,205188689.80479777,315899866.46549094,0.0,315949649.0219554,693050843.015902,9350230035.288712,10731717277.590406,12472806760.922203
29,1885457057.4556217,2239376890.700539,2675027186.8904877,695058878.8898983,1380811677.9116426,2195987011.2967854,6424810345.8160925,6424810345.8160925,6424810345.8160925,181445386.56346855,204785334.47045797,314630884.616642,0.0,313569245.5551026,687829312.8305477,9186771668.725082,10563353494.453835,12298284741.450554
30,1885457057.4556217,2239471477.556717,2675207615.368214,696063939.127233,1379632951.629565,2191032359.328457,6243686562.657688,6243686562.657688,6243686562.657688,179811932.67577264,202989120.12600523,312395907.1888248,0.0,312517652.94247454,685522593.5512345,9005019491.916315,10378297764.91245,12107845038.09442
31,1885457057.4556217,2239471477.556717,2675207615.368214,702043793.5150242,1377500931.26223,2183388205.710172,6064269046.676224,6064269046.676224,6064269046.676224,178177781.94196704,201200619.40274897,310214405.48596585,0.0,309550367.50163746,679013709.3584306,8829947679.588837,10191992442.399555,11912092982.599007
32,1885023799.5932193,2239044223.2805696,2674774281.6424966,703458843.1194482,1374942838.5746317,2165026782.875101,5949226630.342277,5949226630.342277,5949226630.342277,174492493.36682755,197008017.973167,305350466.9159983,0.0,307203001.6003309,673864648.6716934,8712201766.421772,10067424711.770975,11768242810.447567
33,1884695225.86618,2238723300.7722125,2674422602.6563487,705563947.4131368,1373199373.6360455,2159150060.5531583,5772974822.761182,5772974822.761182,5772974822.761182,172531629.5276599,194832417.9642729,302600321.3620779,0.0,304294399.5429415,667484489.3200006,8535765625.568159,9884024314.676655,11576632296.652767
34,1884695225.86618,2238723300.7722125,2674422602.6563487,707563407.656419,1370458705.709614,2148971566.547804,5613621153.18917,5613621153.18917,5613621153.18917,171311573.86879283,193336527.24294046,300382473.22826844,0.0,301764087.63139474,661934127.7075754,8377191360.580562,9717903774.545334,11399331923.329165
35,1884260705.9408329,2237938475.762642,2673225724.2623115,709137400.3544734,1368177609.4428425,2140985236.295353,5475244895.921398,5475244895.921398,5475244895.921398,168336632.82193303,190119927.36057603,296345595.21492887,0.0,299063030.4311066,656009228.0424274,8236979635.038637,9570543938.918566,11241810679.73642
36,1884260705.9408329,2237938475.762642,2673225724.2623115,710919099.4344246,1366241510.3525786,2134550802.866561,5340678446.222696,5340678446.222696,5340678446.222696,167137815.91339922,188710968.98212075,294280282.8252116,0.0,297650004.6260334,652909687.5667828,8102996067.511353,9431219405.946072,11095644943.743563
37,1884074600.6360686,2237699645.020917,2672916382.4494,712884384.0121231,1364612987.4961205,2128951698.3302352,5206885250.659864,5206885250.659864,5206885250.659864,165106617.01963177,186493411.22948375,291235405.16173637,0.0,294884227.4101047,646842821.4157135,7968950852.327687,9290575521.816492,10946831558.016949
38,1882782460.8363972,2236111626.3972125,2670948982.53072,715426051.6046027,1362963332.0855346,2122628852.6087515,5077563027.038667,5077563027.038667,5077563027.038667,162973661.06109044,184065719.83984303,288038733.91471744,0.0,292573412.9538666,641773938.0923525,7838745200.540757,9153277118.315125,10800953534.185207
39,1881815244.5373003,2234920411.054833,2669460424.1739783,717068438.5256855,1362707241.0299501,2117564751.7046728,4950783709.199386,4950783709.199386,4950783709.199386,160361642.79176465,181165065.14998052,284436792.9394563,0.0,289458312.0272401,634940813.4791073,7710029035.054135,9019034738.46139,10657186491.496601
40,1881759674.8565059,2234770858.44835,2669139320.4673777,718966769.6556971,1361815706.179402,2111855193.3294668,4834546426.623194,4834546426.623194,4834546426.623194,158063963.66883904,178591849.54504752,281260656.9040499,0.0,286267879.70348734,627942445.801198,7593336834.804236,8895992720.499481,10524744043.125286
41,1878992131.5427976,2231538645.90425,2665358658.8191805,723694856.84623,1361458993.9134243,2111255915.6871438,4714568797.311227,4714568797.311227,4714568797.311227,156406907.62029094,176659408.95164526,278707680.82913506,0.0,282925945.66516453,620611751.7816511,7473662693.320545,8767151791.74571,10390502804.428337
42,1878797899.3492208,2231194952.445097,2664790692.8185806,724712831.2752266,1360063096.1972075,2107842019.6351624,4610844351.9631815,4610844351.9631815,4610844351.9631815,155109125.8945592,175163607.54427287,276729942.03092307,0.0,280399778.9978961,615070482.9631267,7369464208.482188,8657665787.147654,10275277489.410975
