# Age_Ma	SL_envelope_m
90.100	227.680
90.200	227.816
90.300	227.834
90.400	227.874
90.500	228.890
90.600	229.907
90.700	230.924
90.800	231.940
90.900	232.957
91.000	234.131
91.100	235.369
91.200	236.607
91.300	237.844
91.400	239.082
91.500	240.319
91.600	241.693
91.700	243.286
91.800	244.862
91.900	246.415
92.000	246.992
92.100	247.569
92.200	248.146
92.300	248.723
92.400	249.300
92.500	249.719
92.600	250.074
92.700	250.430
92.800	250.786
92.900	251.142
93.000	251.498
93.100	251.718
93.200	251.504
93.300	251.290
93.400	251.075
93.500	250.861
93.600	250.646
93.700	250.246
93.800	249.749
93.900	249.251
94.000	248.753
94.100	248.255
94.200	247.758
94.300	247.260
94.400	246.691
94.500	246.016
94.600	245.148
94.700	244.494
94.800	243.840
94.900	243.186
95.000	241.923
95.100	240.600
95.200	239.398
95.300	238.294
95.400	237.190
95.500	236.086
95.600	234.981
95.700	233.877
95.800	232.773
95.900	231.740
96.000	230.813
96.100	230.079
96.200	229.345
96.300	228.612
96.400	227.813
96.500	227.582
96.600	227.267
96.700	227.017
96.800	226.767
96.900	226.661
97.000	226.554
97.100	226.448
97.200	226.341
97.300	226.235
97.400	226.128
97.500	226.022
97.600	225.957
97.700	225.978
97.800	226.108
97.900	226.303
98.000	226.539
98.100	226.919
98.200	227.299
98.300	227.679
98.400	227.915
98.500	228.152
98.600	228.388
98.700	228.625
98.800	228.861
98.900	229.098
99.000	229.334
99.100	229.529
99.200	229.638
99.300	229.638
99.400	229.638
99.500	229.638
99.600	229.638
99.700	229.634
99.800	229.615
99.900	229.567
100.000	229.518
100.100	229.469
100.200	229.421
100.300	229.372
100.400	229.323
100.500	229.275
100.600	229.226
100.700	229.177
100.800	229.129
100.900	229.080
101.000	229.031
101.100	228.983
101.200	228.937
101.300	228.908
101.400	228.908
101.500	228.908
101.600	228.784
101.700	228.411
101.800	227.707
101.900	226.520
102.000	224.761
102.100	222.914
102.200	221.009
102.300	218.707
102.400	216.405
102.500	214.103
102.600	211.801
102.700	209.499
102.800	207.197
102.900	204.894
103.000	202.592
103.100	200.414
103.200	198.485
103.300	196.887
103.400	195.772
103.500	195.182
103.600	194.420
103.700	193.712
103.800	193.156
103.900	192.600
104.000	192.045
104.100	191.489
104.200	190.934
104.300	190.378
104.400	189.661
104.500	188.309
104.600	186.939
104.700	185.521
104.800	184.102
104.900	182.684
105.000	181.312
105.100	180.202
105.200	179.094
105.300	178.231
105.400	177.368
105.500	176.506
105.600	175.643
105.700	174.780
105.800	173.917
105.900	173.216
106.000	172.960
106.100	172.429
106.200	171.562
106.300	170.395
106.400	169.142
106.500	167.865
106.600	166.587
106.700	165.310
106.800	164.033
106.900	162.756
107.000	161.479
107.100	160.202
107.200	158.925
107.300	157.648
107.400	156.370
107.500	155.282
107.600	154.488
107.700	154.077
107.800	153.968
107.900	153.944
108.000	153.944
108.100	153.944
108.200	153.501
108.300	152.916
108.400	152.327
108.500	151.521
108.600	150.715
108.700	149.910
108.800	149.104
108.900	148.298
109.000	147.641
109.100	146.984
109.200	146.326
109.300	145.669
109.400	145.012
109.500	144.355
109.600	143.698
109.700	143.483
109.800	143.411
109.900	143.194
110.000	143.156
110.100	143.040
110.200	142.974
110.300	142.908
110.400	142.841
110.500	142.626
110.600	142.411
110.700	142.196
110.800	141.981
110.900	141.767
111.000	141.552
111.100	141.303
111.200	141.035
111.300	140.766
111.400	140.646
111.500	140.565
111.600	140.561
111.700	140.507
111.800	140.454
111.900	140.400
112.000	140.347
112.100	140.293
112.200	140.011
112.300	139.728
112.400	139.402
112.500	139.013
112.600	138.657
112.700	138.321
112.800	137.986
112.900	137.650
113.000	137.314
113.100	136.978
113.200	136.642
113.300	136.306
113.400	135.970
113.500	135.634
113.600	135.299
113.700	135.191
113.800	135.086
113.900	135.028
114.000	135.034
114.100	135.040
114.200	134.997
114.300	134.887
114.400	134.753
114.500	134.619
114.600	134.485
114.700	134.350
114.800	134.216
114.900	134.082
115.000	133.948
115.100	133.814
115.200	133.697
115.300	133.618
115.400	133.532
115.500	133.446
115.600	133.361
115.700	133.324
115.800	133.354
115.900	133.409
116.000	133.427
116.100	133.347
116.200	133.267
116.300	133.187
116.400	133.106
116.500	133.026
116.600	132.946
116.700	132.848
116.800	132.713
116.900	132.578
117.000	132.444
117.100	132.338
117.200	132.301
117.300	132.301
117.400	132.364
117.500	132.507
117.600	132.748
117.700	132.990
117.800	133.232
117.900	133.473
118.000	133.715
118.100	133.957
118.200	134.198
118.300	134.440
118.400	134.681
118.500	134.923
118.600	135.136
118.700	135.279
118.800	135.386
118.900	135.431
119.000	135.431
119.100	135.431
119.200	135.431
119.300	135.431
119.400	135.341
119.500	135.107
119.600	134.873
119.700	134.639
119.800	134.436
119.900	134.622
120.000	135.062
120.100	135.502
120.200	135.942
120.300	136.382
120.400	136.822
120.500	137.262
120.600	137.702
120.700	138.142
120.800	138.582
120.900	139.111
121.000	139.785
121.100	140.459
121.200	141.133
121.300	141.776
121.400	142.059
121.500	142.133
121.600	142.247
121.700	142.572
121.800	143.026
121.900	143.479
122.000	143.933
122.100	144.387
122.200	144.840
122.300	145.294
122.400	145.747
122.500	146.201
122.600	146.654
122.700	147.108
122.800	147.562
122.900	147.987
123.000	148.367
123.100	148.707
123.200	148.835
123.300	148.835
123.400	148.835
123.500	148.835
123.600	148.835
123.700	148.694
123.800	148.320
123.900	147.575
124.000	146.831
124.100	146.087
124.200	145.975
124.300	145.863
124.400	145.751
124.500	145.639
124.600	145.527
124.700	145.415
124.800	145.303
124.900	145.192
125.000	145.080
125.100	145.157
125.200	145.470
125.300	146.220
125.400	147.442
125.500	148.726
125.600	150.010
125.700	150.662
125.800	151.314
125.900	151.966
126.000	152.617
126.100	153.269
126.200	153.921
126.300	154.573
126.400	155.225
126.500	155.876
126.600	156.339
126.700	156.707
126.800	156.870
126.900	156.933
127.000	157.054
127.100	157.174
127.200	157.310
127.300	157.447
127.400	157.583
127.500	157.624
127.600	157.664
127.700	157.961
127.800	158.310
127.900	158.658
128.000	159.007
128.000	159.356
128.000	159.705
128.100	160.054
128.400	160.403
128.500	160.631
128.600	160.953
128.900	161.259
129.000	161.565
129.000	161.871
129.000	162.273
129.000	162.675
129.000	162.821
129.100	162.768
129.400	162.716
129.500	162.663
129.600	162.610
129.900	162.558
130.000	162.500
130.000	162.356
130.000	162.146
130.000	161.842
130.000	161.538
130.100	161.186
130.400	160.833
130.500	160.480
130.600	160.040
130.900	159.588
131.000	159.283
131.000	158.978
131.000	158.672
131.000	157.941
131.000	157.209
131.100	155.394
131.400	153.589
131.500	151.836
131.600	150.084
131.900	147.958
132.000	145.880
132.000	143.803
132.000	141.726
132.000	139.736
132.000	137.758
132.100	135.779
132.400	133.558
132.500	131.161
132.600	128.944
132.900	126.385
133.000	124.913
133.000	123.518
133.000	122.137
133.000	120.717
133.000	119.670
133.100	118.623
133.400	117.577
133.500	116.446
133.600	115.316
133.900	114.185
134.000	112.166
134.000	110.318
134.000	108.630
134.000	107.188
134.100	106.082
134.300	104.977
134.400	103.871
134.500	102.766
134.600	101.699
134.700	100.633
134.800	99.567
134.900	98.500
135.000	97.408
135.100	96.118
135.200	94.536
135.300	93.366
135.400	92.001
135.500	90.627
135.600	89.242
135.700	87.864
135.800	86.486
135.900	85.108
136.000	83.730
136.100	82.352
136.200	80.973
136.300	79.595
136.400	78.217
136.500	76.949
136.600	75.878
136.700	75.109
136.800	74.818
136.900	74.793
137.000	74.793
137.100	74.803
137.200	74.803
137.300	74.696
137.400	74.589
137.500	74.779
137.600	75.354
137.700	76.015
137.800	76.676
137.900	77.337
138.000	77.998
138.100	78.659
138.200	79.309
138.300	79.960
138.400	80.611
138.500	81.261
138.600	81.965
138.700	82.817
138.800	83.787
138.900	85.193
139.000	86.814
139.100	88.342
139.200	89.783
139.300	91.225
139.400	92.666
139.500	94.108
139.600	95.549
139.700	96.991
139.800	98.433
139.900	99.874
140.000	101.316
140.100	102.704
140.200	103.954
140.300	105.194
140.400	105.998
140.500	106.290
140.600	106.290
140.700	106.290
140.800	106.290
140.900	106.290
141.000	106.290
141.100	106.214
141.200	106.025
141.300	105.739
141.400	105.452
141.500	105.166
141.600	104.879
141.700	104.593
141.800	104.306
141.900	104.020
142.000	103.734
142.100	103.447
142.200	103.161
142.300	102.874
142.400	102.588
142.500	102.301
142.600	102.091
142.700	101.993
142.800	101.993
142.900	101.993
143.000	101.671
143.100	101.278
143.200	100.803
143.300	100.116
143.400	99.430
143.500	98.744
143.600	98.149
143.700	97.673
143.800	97.198
143.900	96.723
144.000	96.248
144.100	95.773
144.200	95.299
144.300	94.824
144.400	94.349
144.500	94.195
144.600	93.993
144.700	93.994
144.800	94.273
144.900	94.640
145.000	95.006
145.100	95.282
145.200	95.438
145.300	95.593
145.400	95.749
145.500	95.904
145.600	96.059
145.700	96.450
145.800	97.054
145.900	97.948
146.000	98.842
146.100	99.856
146.200	100.749
146.300	101.575
146.400	102.313
146.500	103.056
146.600	104.369
146.700	105.682
146.800	106.995
146.900	108.308
147.000	109.621
147.100	111.174
147.200	112.798
147.300	114.209
147.400	115.330
147.500	116.451
147.600	117.572
147.700	118.693
147.800	119.814
147.900	120.935
148.000	122.478
148.100	123.459
148.200	124.462
148.300	125.465
148.400	126.467
148.500	127.470
148.600	128.232
148.700	128.689
