age,depth,sl,MOR_ridge,arc_subduction,rift,carb_platform,intraplate,gross_outflux,net_influx,net_out_incl_sed,net_out_excl_sed,sink_plate_sed,crust_sink
30.0,4494.5,34.211,17.403936275571148,10.925399068817692,21.25241998779105,107.27845350437462,6.0,162.8602088365545,-86.52324550677704,-86.52324550677704,123.83988683390604,238.49019493760946,28.127062596926372
31.0,4482.2,33.889,17.842312279415058,10.927304453071764,21.25241998779105,107.27845350437462,6.0,163.3004902246525,-84.79430341982433,-84.79430341982433,124.10497318665072,237.02633920340142,28.127062596926372
32.0,4417.5,33.797,17.49331869575238,11.338443290525255,21.25241998779105,107.27845350437462,6.0,163.3626354784433,-65.80514372846568,-65.80514372846568,124.12471319978816,218.11008540907537,28.180228480821533
33.0,4353.8,66.712,17.403936275571148,11.365507024460014,21.25241998779105,106.57582612526514,6.0,162.59768941308735,-64.26718520194169,-64.26718520194169,123.14138991192485,215.74926484886657,28.34068973500006
34.0,4241.0,102.719,16.96485749650388,10.714036463193324,21.25241998779105,103.81134822762591,6.0,158.74266217511416,-63.98526517254197,-63.98526517254197,119.79012131098963,211.60754095999744,27.832154476465817
35.0,4116.5,99.195,16.96485749650388,9.321276291225654,15.920031394436208,101.99631423839216,6.0,150.2024794205579,-59.078173729140985,-59.078173729140985,111.49641186985684,197.92224555641744,27.347659957419605
36.0,4051.8,85.95,16.95023436225799,7.675999572695996,15.920031394436208,101.99631423839216,6.0,148.54257956778235,-53.51915892915673,-53.51915892915673,109.63641240972956,190.7812027659519,27.625631427065585
37.0,3980.8,76.041,16.820486019841677,7.470633419703036,15.920031394436208,95.7572939455053,6.0,141.96844477948622,-56.80576867579202,-56.80576867579202,103.2177802398789,187.89222105101993,27.86867213534901
38.0,3962.5,75.294,16.656488265447546,6.957900480871911,15.920031394436208,94.30172349374324,6.0,139.8361436344989,-53.65588834441604,-53.65588834441604,100.613477367663,182.69631246682843,28.42694675474938
39.0,3908.0,91.492,16.112176969677808,5.828192369153388,15.920031394436208,93.0579875149662,6.0,136.9183882482336,-52.19210990963097,-52.19210990963097,97.4570898416036,178.33066077511015,28.68146102387556
40.0,3782.7,102.285,15.87184107878068,5.640810673587555,15.920031394436208,88.48391794168222,6.0,131.9166010884867,-50.75695929162728,-50.75695929162728,92.57710140494756,172.06227304357358,28.72821234699877
41.0,3852.2,97.539,15.87184107878068,5.0596966842164335,15.771452864742304,80.12150941843635,6.0,122.82450004617576,-55.69361880385336,-55.69361880385336,83.51968079572347,167.95650005383763,28.7432004542608
