,outflux_sediments,outflux_sediments,outflux_sediments,outflux_intrusive,outflux_intrusive,outflux_intrusive,outflux_volcanics,outflux_volcanics,outflux_volcanics,outflux_mantlelit,outflux_mantlelit,outflux_mantlelit,outflux_total,outflux_total,outflux_total
,min,mean,max,min,mean,max,min,mean,max,min,mean,max,min,mean,max
age,,,,,,,,,,,,,,,
37,23.350930935523017,23.350930935523017,23.350930935523017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.911894132609401,23.350930935523017,23.350930935523017,26.26282506813242
38,21.748283506533078,21.748283506533078,21.748283506533078,0.0,0.0,0.0,0.0,0.0,0.05382311853667687,0.0,0.0,2.8809308056943372,21.748283506533078,21.748283506533078,24.68303743076409
39,18.21715908748911,18.21715908748911,18.21715908748911,0.0,0.0,0.0,0.0,0.0,0.05382311853667687,0.0,0.0,2.8809308056943372,18.21715908748911,18.21715908748911,21.151913011720126
40,17.631460822573725,17.631460822573725,17.631460822573725,0.0,0.0,0.0,0.0,0.0,0.05382311853667687,0.0,0.0,2.7465902986657014,17.631460822573725,17.631460822573725,20.431874239776104
41,15.815074999695174,15.815074999695174,15.815074999695174,0.0,0.0,0.0,0.0,0.0,0.04070364416075023,0.0,0.0,2.4458027014592396,15.815074999695174,15.815074999695174,18.301581345315164
42,15.815074999695174,15.815074999695174,15.815074999695174,0.0,0.0,0.0,0.0,0.0,0.046295726404316895,0.0,0.0,2.6071258777724786,15.815074999695174,15.815074999695174,18.46849660387197
43,15.287086333496244,15.287086333496244,15.287086333496244,0.0,0.0,0.0,0.0,0.0,0.6131217802773143,0.0,0.0,2.832697164668744,15.287086333496244,15.287086333496244,18.732905278442303
44,15.249669509418386,15.249669509418386,15.249669509418386,0.0,0.0,0.0,0.0,0.0,0.9179559153624588,0.0,0.0,3.1797071473642617,15.249669509418386,15.249669509418386,19.347332572145106
45,14.639488287595402,14.639488287595402,14.639488287595402,0.0,0.0,0.0,0.0,0.0,1.0201976615717925,0.0,0.0,3.398252512047357,14.639488287595402,14.639488287595402,19.05793846121455
46,12.633894976278304,12.633894976278304,12.633894976278304,0.0,0.0,0.0,0.0,0.0,1.1951753646128047,0.0,0.0,4.3182938421980985,12.633894976278304,12.633894976278304,18.14736418308921
