,crust,crust,crust,lithosphere,lithosphere,lithosphere,sediments,sediments,sediments,total,total,total
,min,mean,max,min,mean,max,min,mean,max,min,mean,max
age,,,,,,,,,,,,
33,35.61285313479285,39.61067718093782,43.60904164153417,11.722519774105411,12.432070353870914,13.155255220555937,2.833099442536451,3.3859435131967364,3.9387873333730856,50.168472351434716,55.42869104800547,60.70308419546319
34,34.214381990571034,38.06925289336742,41.9241237774355,10.766627322352146,11.406063681772942,12.057787686751835,2.7191542433347475,3.2499109841214753,3.7806675202286946,47.70016355625793,52.72522755926184,57.76257898441603
35,34.475300003376816,38.340283063934095,42.2052660976431,9.84196153460449,10.450573240199613,11.07692232841367,2.8297482514062278,3.382083097025271,3.9344177391157706,47.14700978938754,52.172939401158985,57.216606165172536
36,31.257294416232277,34.760965985647296,38.2646375614797,9.150721444226571,9.654520069934756,10.166136262868102,2.3220059627853384,2.774472568297538,3.2269390028356484,42.730021823244186,47.18995862387959,51.65771282718345
37,29.31468291271818,32.6035129960332,35.89234854615319,8.950743158853196,9.432772423182765,9.917819263508703,2.4114560609262963,2.88159323077741,3.351730253010258,40.676882132497674,44.91787864999338,49.16189806267215
38,28.57294347602805,31.78016176578171,34.98738003254334,8.029796688053889,8.48363870036071,8.941116966241065,2.3558775061465598,2.8157105601686157,3.2755434266183032,38.9586176702285,43.07951102631104,47.20404042540272
39,28.354556048352343,31.537014946841474,34.7194738369487,8.617409007013208,9.104273881732666,9.594776988902964,2.305822562077145,2.7561793215618926,3.206535925746783,39.2777876174427,43.397468150136035,47.52078675159845
40,30.46276636014602,33.878448337553095,37.29413028170905,10.387895057965622,10.971595809076193,11.559485460478804,2.425648827699895,2.89943621325461,3.373223454235138,43.27631024581154,47.7494803598839,52.22683919642299
41,27.48921326667778,30.572952104723754,33.656690954906026,9.603277317559394,10.129015153185719,10.661460977789028,2.294776144662022,2.742462294692699,3.1901482728334245,39.3872667288992,43.44442955260217,47.50830020552848
42,27.478470424800438,30.560871776818207,33.64327782109045,9.574334749136524,10.095421037217717,10.620319601218695,2.305580668662146,2.75526932671582,3.2049578279635123,39.358385842599105,43.41156214075174,47.46855525027266
43,27.709128385834095,30.817705494121228,33.92628265361655,9.761662193939536,10.291642658837386,10.827954351125381,2.348296355685494,2.8070154007457004,3.265734285923105,39.819086935459126,43.916363553704315,48.01997129066504
44,27.086698352038518,30.125897257399057,33.16509618732323,10.626602850714079,11.152532032561613,11.682182400546806,2.3134492960676107,2.764807171228804,3.2161648422948383,40.026750498820206,44.04323646118947,48.063443430164874
45,28.679499178984166,31.89815609765841,35.116813041536574,10.327635969449002,10.911932843594052,11.502289860205952,2.340979402984044,2.7976720846509804,3.2543646073773513,41.34811455141721,45.60776102590344,49.87346750911988
46,33.28239511959557,37.0187554573554,40.755115779821175,10.256240456289309,10.817844863844503,11.3829366428094,3.1268993030161454,3.737905547213288,4.348911562537452,46.66553487890103,51.57450586841318,56.486963985168025
47,33.1745414295066,36.89609497289998,40.61764849325769,11.849241980578563,12.537099548588074,13.229995783123234,3.205626274677451,3.8314641534772087,4.457301779813969,48.22940968476261,53.26465867496526,58.30494605619489
48,33.12731252891891,36.84576870702213,40.56422489587922,12.198869345820102,12.890085136837163,13.582280473028408,3.224458249553682,3.854217864633957,4.483977267008432,48.55064012429269,53.590071708493255,58.63048263591606
49,34.41802881177175,38.280889150766974,42.143749459828925,12.31590033496474,13.004620991698292,13.694620179459342,3.2258425436778877,3.8551606735598822,4.484478585922576,49.95977169041437,55.14067081602515,60.32284822521084
50,32.41524382957113,36.053802160371276,39.69236049419823,12.803368074846599,13.53515687835845,14.268854440528996,3.0213426340429543,3.611054199128008,4.200765544516431,48.23995453846068,53.20001323785773,58.16198047924366
51,26.62487552808312,29.61961993970914,32.61436435760703,12.145567389756868,12.854276822915338,13.565167153151425,2.8523643699704095,3.4096664779785257,3.9669683772098594,41.622807287810396,45.883563240603,50.14649988796831
52,30.07568145897704,33.458082344958086,36.840483206753845,13.058774849691245,13.823524162966935,14.589210124476448,3.149162963999723,3.7640659626247075,4.378968733561331,46.283619272668005,51.045672470549725,55.808662064791626
53,29.638472669476137,32.97536885117933,36.312264999951545,14.658612963513926,15.476605297818413,16.297018525778725,3.059479170151454,3.657314982503968,4.255150573632809,47.35656480314152,52.10928913150172,56.86443409936308
54,28.316500495991768,31.514002544139494,34.71150457559618,14.864438101344316,15.703307846369313,16.545089573982043,2.9977891758601354,3.583244692790914,4.168699990488905,46.178727773196215,50.80055508329972,55.42529414006712
55,28.154631454764477,31.329218003118026,34.50380452028682,13.845149624612104,14.656439204450646,15.469507049891698,2.8985963670671473,3.4645483429577317,4.030500174494682,44.89837744644373,49.450205550526405,54.0038117446732
56,25.80631074477046,28.71343435926095,31.62152308001381,17.090274920209083,18.025529443646995,18.96846430096511,2.838150586398382,3.3924538965373308,3.9467569740134367,45.734736251377925,50.13141769944528,54.53674435499236
57,25.87674952442811,28.790913822827566,31.707026350877527,17.787109454969187,18.742448554730913,19.702190084384895,2.8314020103016575,3.3846742219170793,3.9379462314364115,46.495260989698956,50.918036599475556,55.347162666698836
58,25.801449509555713,28.706278729066582,31.612822851175693,15.553607123993105,16.4319836748923,17.316754810862964,2.8357192875471275,3.389587065341167,3.943454677001447,44.19077592109595,48.52784946930005,52.8730323390401
