,min_carbonate_platform_degassing_rate,mean_carbonate_platform_degassing_rate,max_carbonate_platform_degassing_rate
52,60.601704717081006,80.05421257211498,104.96026243272
53,59.92504581999116,80.05421257211498,104.96026243272
54,59.434497673830535,79.85652260376222,99.20336589989196
55,53.737978206074374,71.31090857066526,96.46453113791476
56,52.07913613367256,68.7901352709263,94.3968276156269
57,42.27398877122569,55.51413365865045,83.31378706077936
58,42.27398877122569,55.51413365865045,83.31378706077936
59,42.27398877122569,55.51413365865045,83.31378706077936
60,42.27398877122569,55.51413365865045,83.31378706077936
61,37.44225801949174,55.51413365865045,83.31378706077936
62,41.40927556535077,56.47489013274667,90.49701090517814
63,41.40927556535077,56.47489013274667,90.49701090517814
64,42.27398877122569,59.113078317585064,90.49701090517814
65,42.27398877122569,59.14229106047124,90.49701090517814
66,43.57347745750245,59.93871947900116,95.15687875112904
67,43.57347745750245,59.93871947900116,95.15687875112904
68,42.16223287640104,59.14229106047124,95.15687875112904
69,41.40927556535077,59.113078317585064,89.29662100944178
70,37.74085209286385,56.47489013274667,88.68104635917848
71,37.74085209286385,55.21218607162274,84.58715145316825
72,34.31746223143951,48.51000625599811,68.6094881760125
73,32.474889828561736,46.64002882869576,67.17609446369691
74,30.888506248806166,44.84991615516309,64.27971670994094
75,30.595061028100247,44.15285179893115,63.45553526543981
76,30.392451139209733,43.74803431874622,63.45553526543981
77,29.894031995055965,42.84935433789225,63.45553526543981
78,29.894031995055965,41.33392462070309,63.45553526543981
79,29.894031995055965,41.33392462070309,63.68962479907019
80,30.392451139209733,43.74803431874622,64.27971670994094
81,30.392451139209733,43.74803431874622,64.50005841554774
82,30.392451139209733,43.74803431874622,64.50005841554774
83,33.60014287946913,51.52332956939276,74.76972132128981
84,33.71159034271801,51.88191432237935,75.06015513022413
85,33.71159034271801,51.88191432237935,75.84748334735741
86,33.71159034271801,51.88191432237935,75.84748334735741
87,33.71159034271801,51.88191432237935,75.84748334735741
88,33.71159034271801,51.88191432237935,75.84748334735741
89,33.60014287946913,51.52332956939276,75.06015513022413
90,32.869496486883854,49.43904283215175,74.76972132128981
91,32.62725761932845,46.47897844723986,73.39028657114233
92,31.157838178990332,45.91133253991012,71.50504314325116
93,30.44088461769766,44.969187104372295,70.65459021964554
94,30.29825223952008,44.91155477321229,70.45121268810662
95,29.823078365258432,44.74172653402219,70.45121268810662
96,29.60380468880325,44.47770995915498,70.3384027757061
97,29.2316111627077,44.318936351032704,69.8977631322932
98,28.335794531224657,44.318936351032704,69.8977631322932
99,28.035555657046725,43.96597485573905,69.26370746339828
100,28.01691097085603,43.8209584072128,69.20348031647234
101,27.80352653637499,43.8209584072128,69.20348031647234
102,27.394755983632503,42.71938058462096,68.90923095329178
103,27.372073338788635,42.71938058462096,67.78072018692346
104,23.24667577389169,40.765345603441794,65.69008192093905
105,22.635567095077946,38.90507877204955,63.68790140273396
106,22.54402335648386,37.653510527246695,61.83571204426897
107,22.130196791438618,36.96740108962,61.01951299028196
108,20.80496588744047,35.57568392536646,59.866449785904706
109,15.61932865721948,26.01905660033404,47.95813598481862
110,15.61932865721948,26.01905660033404,44.35999453037286
111,15.43443880681863,25.912154452615923,42.535685596024976
112,15.13500795271099,25.51359172705597,41.600928841114566
113,13.263493364429973,24.728992980561365,41.54954309793263
114,13.263493364429973,23.27884108579051,38.54715236549018
115,14.96831517008516,25.275504340651807,41.54954309793263
116,14.96831517008516,25.275504340651807,41.54954309793263
117,14.96831517008516,25.275504340651807,41.600928841114566
118,14.96831517008516,25.275504340651807,42.535685596024976
119,14.96831517008516,25.275504340651807,44.35999453037286
120,14.96831517008516,25.275504340651807,45.43818213630095
121,20.47330278729897,35.38479316959439,49.02468985720624
122,20.73101994159255,36.60950764762623,49.56372983425963
123,21.543772118734864,37.12745293959841,49.56372983425963
124,23.219992967508723,37.18471793229857,50.22738373959987
125,26.380576851323497,37.64246138446008,50.70368484667007
126,26.380576851323497,37.64246138446008,54.18832975108264
127,26.80197114034835,37.992948276425174,55.48698213956294
128,26.80197114034835,37.64246138446008,54.18832975108264
129,27.568857773956335,37.992948276425174,55.48698213956294
130,28.2196164499061,39.00751222186176,55.48707069738269
131,28.2196164499061,39.00751222186176,55.48707069738269
132,27.568857773956335,37.992948276425174,55.48707069738269
133,27.568857773956335,37.992948276425174,55.48707069738269
134,27.568857773956335,37.992948276425174,55.48707069738269
135,27.568857773956335,37.992948276425174,55.9228923076989
136,28.973764723166624,40.12307834340366,58.833586953344486
137,28.973764723166624,40.12307834340366,58.833586953344486
138,28.973764723166624,40.12307834340366,58.833586953344486
139,26.952238840467324,35.295190958052466,51.43883501548139
140,25.368320431920186,35.295190958052466,51.43883501548139
141,25.368320431920186,35.295190958052466,51.43883501548139
142,25.491104899249564,35.295190958052466,51.43883501548139
143,22.322323672137443,33.90601927265067,50.406550124907795
144,22.263594299358964,33.70628713934712,50.406550124907795
145,20.476705808615936,33.549244935589705,50.281370853703194
146,20.476705808615936,33.549244935589705,49.86960522102308
147,22.263594299358964,33.70628713934712,49.86960522102308
148,22.322323672137443,33.90601927265067,49.86960522102308
149,22.643829118291514,37.8886432410199,50.281370853703194
150,25.19217573111361,35.87286523463342,49.86960522102308
151,25.19217573111361,35.87286523463342,49.54109898716288
152,25.19217573111361,35.87286523463342,49.54109898716288
153,27.210636810793986,36.512452288487125,49.54109898716288
154,27.509230193238473,36.512452288487125,47.6759149875881
155,27.509230193238473,36.512452288487125,44.2744727706736
156,27.509230193238473,35.87286523463342,43.4574082460942
157,27.778577743404043,35.87286523463342,43.4574082460942
158,27.348960943657996,35.63655676155814,43.19046998187858
159,27.210636810793986,35.40829054018199,42.844941362795055
160,27.210636810793986,34.618748799874986,43.19046998187858
161,27.348960943657996,35.40829054018199,43.4574082460942
162,27.637684333606977,35.556195760050265,43.507077248266526
163,27.637684333606977,35.556195760050265,44.2744727706736
164,27.637684333606977,35.556195760050265,44.62193187518959
165,28.968082496373302,36.95472967411146,46.26681099912405
166,29.230150272775845,37.44904611766637,47.43838249446647
167,29.230150272775845,37.44904611766637,47.43838249446647
168,32.32276213015656,41.46643565505301,52.39035152876446
169,32.32276213015656,41.46643565505301,52.39035152876446
170,32.32276213015656,41.46643565505301,52.39035152876446
