,min_magma_production_rate,mean_magma_production_rate,max_magma_production_rate
91,31.157838178990332,45.91133253991012,73.39028657114233
92,30.29825223952008,44.969187104372295,70.45121268810662
93,29.823078365258432,44.318936351032704,69.8977631322932
94,30.44088461769766,44.91155477321229,70.65459021964554
95,28.035555657046725,42.41202412449387,68.87969606229044
96,29.2316111627077,43.8209584072128,69.26370746339828
97,27.394755983632503,42.60231849792656,68.90923095329178
98,29.60380468880325,44.74172653402219,70.3384027757061
99,28.01691097085603,43.96597485573905,70.81519904471368
100,28.335794531224654,44.47770995915498,67.78072018692346
101,27.372073338788635,42.719380584620964,69.20348031647234
102,27.80352653637499,44.94321258817206,72.6834947531822
103,22.635567095077942,40.765345603441794,65.69008192093905
104,23.24667577389169,38.90507877204955,63.68790140273396
105,20.804965887440474,35.57568392536646,59.866449785904706
106,22.130196791438618,37.653510527246695,61.83571204426897
107,22.54402335648386,36.967401089620004,61.01951299028196
108,13.243003475685596,24.728992980561365,47.95813598481862
109,12.220448057197736,20.9969139505628,37.88250210511526
110,13.263493364429973,23.27884108579051,38.54715236549018
111,15.13500795271099,25.51359172705597,41.54954309793263
112,15.43443880681863,26.01905660033404,41.600928841114566
113,15.61932865721948,25.912154452615923,42.535685596024976
114,16.215701824539735,26.779683483601687,44.35999453037286
115,11.912070652280438,20.48932524213958,36.2011356076517
116,11.878491553046734,20.84448850196239,36.51819096670175
117,12.14146162864052,22.32470813625086,37.440216546053165
118,11.483327256564142,21.482409516689255,36.3618392524313
119,14.96831517008516,25.275504340651807,45.43818213630095
120,13.564221837228285,22.73348114525355,40.825693279656754
121,20.47330278729897,35.38479316959439,50.22738373959987
122,21.543772118734864,40.47841451508172,55.986930143209314
123,20.73101994159255,36.60950764762623,50.70368484667007
124,23.219992967508723,37.12745293959841,49.56372983425963
125,26.380576851323497,37.18471793229857,49.02468985720624
126,31.280424356342415,42.876457172924944,55.48698213956294
127,26.80197114034835,37.64246138446008,49.351038428670165
128,31.75664535825579,43.49869154406028,57.2984707140095
129,28.2196164499061,39.00751222186176,55.48707069738269
130,26.109667948123267,35.81655518733756,54.18832975108264
131,27.568857773956335,37.992948276425174,55.9228923076989
132,24.228580597669634,34.69879550559706,53.52218037205174
133,29.391409289997583,41.29952986770465,59.7213277265409
134,28.973764723166624,40.14905137126209,58.896137267650786
135,24.422608252865036,34.94823555719647,49.88283041828319
136,25.368320431920186,34.91682307139668,50.29718295240951
137,26.952238840467324,35.295190958052466,51.43883501548139
138,30.950547464438518,40.12307834340366,58.833586953344486
139,33.4210153310193,43.34728805624543,67.06715825447108
140,32.36720373432135,40.476226394697534,69.45080983453153
141,17.97601786682926,26.163352424325634,50.406550124907795
142,18.173878153652343,29.89048308013642,47.425696613487034
143,18.944595414296273,33.90601927265067,49.7042934677349
144,20.274612163194277,37.8886432410199,53.913302147010334
145,22.322323672137443,33.549244935589705,50.281370853703194
146,25.491104899249564,33.70628713934712,48.69536706220718
147,22.263594299358964,30.56894387744385,46.64177235525133
148,20.476705808615936,29.585899726339292,50.947377355007205
149,19.770933983905064,33.26204147791465,47.6759149875881
150,22.643829118291514,39.804699328276044,49.86960522102308
151,27.509230193238473,39.69256781999724,54.46775325639233
152,28.267160113420776,38.77017012843211,49.541098987162876
153,35.06159717837146,45.492957076927325,55.31947654267108
154,25.19217573111361,35.87286523463342,42.844941362795055
155,25.064018861053654,32.12101896510177,38.987532636193144
156,27.210636810793986,34.618748799874986,41.51536331108963
157,28.273764830427716,36.512452288487125,43.4574082460942
158,27.778577743404043,35.63655676155814,42.767437220800765
159,27.348960943657996,35.40829054018199,44.2744727706736
160,20.63840035741487,26.63142406301513,33.45862808331185
161,35.32064946442034,44.77008459117434,54.17544244865077
162,25.08449422939795,33.60786231822462,43.19046998187858
163,25.56739733157761,33.74894640045078,42.61403861138999
164,26.41027750882205,34.51034220068108,43.507077248266526
165,28.968082496373306,36.95472967411146,46.26681099912405
166,27.637684333606977,35.556195760050265,44.62193187518959
167,29.230150272775845,37.44904611766637,47.43838249446647
168,32.32276213015656,41.466435655053004,52.39035152876446
169,40.78010979895916,49.96118084837574,61.97524492335083
170,36.64591851418896,45.11765549732169,55.350602645662626
