# Age_Myr	SL (m) # Miller et al (0-66.6 Ma), Haq hybrid 66.7 - 205 Ma
49.8	141.560314
49.9	139.087819
50.0	136.609582
50.1	130.894832
50.2	122.932764
50.3	119.388729
50.4	114.856459
50.5	115.213300
50.6	111.148771
50.7	106.764386
50.8	107.431992
50.9	111.623583
51.0	118.107039
51.1	121.348986
51.2	126.613703
51.3	130.655915
51.4	130.496225
51.5	139.382136
51.6	131.950468
51.7	130.204579
51.8	129.544050
51.9	124.764405
52.0	118.295452
52.1	116.066855
52.2	110.441538
52.3	108.808390
52.4	109.673214
52.5	114.255277
52.6	110.198385
52.7	116.434540
52.8	121.560383
52.9	126.583976
53.0	130.725241
53.1	128.553759
53.2	129.538233
53.3	133.200192
53.4	132.789732
53.5	135.122804
53.6	139.244385
53.7	142.543734
53.8	146.483106
53.9	147.190634
54.0	144.753081
54.1	142.971324
54.2	140.631099
54.3	136.290179
54.4	131.914013
54.5	127.148296
54.6	118.740983
54.7	113.814720
54.8	111.223692
54.9	106.377366
55.0	99.225682
55.1	101.121036
55.2	105.592096
55.3	108.249174
55.4	107.728938
55.5	107.678026
55.6	104.613793
55.7	101.444117
55.8	106.929053
55.9	117.997584
56.0	110.490159
56.1	113.374143
56.2	109.619906
56.3	107.988224
56.4	111.561950
56.5	116.417616
56.6	120.732616
56.7	123.782435
56.8	124.228642
56.9	121.389458
57.0	118.960320
57.1	117.195245
57.2	120.426791
57.3	129.227087
57.4	133.453734
57.5	136.403232
57.6	142.734109
57.7	145.800092
57.8	142.934210
57.9	140.936308
58.0	141.898566
58.1	130.052889
58.2	121.826789
58.3	117.516339
58.4	125.623157
58.5	118.151040
58.6	120.092005
58.7	123.252993
58.8	124.006669
58.9	118.838045
59.0	120.759140
59.1	115.605570
59.2	118.346113
59.3	115.669879
59.4	120.505520
59.5	117.037349
59.6	113.059239
59.7	116.557497
59.8	118.324565
59.9	123.069455
60.0	124.995894
60.1	125.592014
60.2	125.016874
60.3	130.105569
60.4	131.328371
60.5	134.241943
60.6	135.205104
60.7	134.792534
60.8	133.366378
60.9	135.324431
61.0	137.755000
61.1	143.430323
61.2	145.572175
61.3	145.356871
61.4	148.496958
61.5	147.484106
61.6	145.814077
61.7	152.374108
61.8	147.774383
61.9	147.972175
62.0	149.239137
62.1	152.933586
62.2	146.836482
62.3	147.706424
62.4	147.813932
62.5	153.478237
62.6	156.816394
62.7	160.230518
62.8	165.081319
62.9	166.002022
63.0	168.990928
63.1	172.140366
63.2	175.405365
63.3	178.382388
63.4	180.611011
63.5	181.542207
63.6	181.627540
63.7	181.647141
63.8	181.293133
63.9	179.007352
64.0	176.450323
