# Age (kyr)	GMGSL (m)Miller et al. (2024)
0.935857	-35.2875
0.938927	-30.8385
0.942094	-6.4138
0.944549	-20.3099
0.947250	-13.1258
0.949575	-7.6143
0.952111	0.0935
0.954912	2.8108
0.957385	-38.0331
0.959626	-23.1559
0.965252	-45.1590
0.968792	-32.5227
0.972527	-27.5944
0.976260	-24.3225
0.979995	-17.2405
0.984034	-30.3436
0.988608	-33.6096
0.993230	-23.0252
0.997392	-31.4365
1.002018	-38.1893
1.006182	-36.8192
1.007108	-45.4447
1.011272	-45.9489
1.016749	-21.7315
1.018137	-36.7650
1.023766	-14.2460
1.025111	-28.1691
1.028992	-25.7604
1.029839	-52.2038
1.032915	-43.1002
1.036151	-55.3324
1.038576	-58.4971
1.040756	-53.6816
1.043033	-50.4678
1.045190	-44.6063
1.047218	-48.3044
1.049050	-45.6374
1.051329	-42.9713
1.053611	-44.5433
1.055896	-43.9977
1.058174	-41.3403
1.060228	-35.5217
1.062309	-22.3283
1.064603	-16.0073
1.067531	1.3535
1.070554	23.4078
1.072791	-29.6958
1.074740	-34.9429
1.076651	0.2154
1.078229	-12.9082
1.079894	-11.3435
1.081655	-24.9694
1.083255	-13.9777
1.084856	-12.9379
1.086457	-40.6566
1.088217	-45.8732
1.089983	-45.8613
1.091788	-47.9370
1.093979	-39.5765
1.096387	-48.9462
1.098509	-50.4929
1.100430	-37.4671
1.102139	-28.0985
1.105129	-33.2938
1.106625	-24.4609
1.108120	-27.5771
1.109584	-29.1337
1.111384	-43.6551
1.113263	-45.2011
1.115044	-49.3363
1.117469	-50.8742
1.119781	-58.1019
1.122442	-51.8756
1.125084	-54.9577
1.127396	-50.8111
1.129709	-44.0903
1.131795	-51.8168
1.134110	-35.8283
1.135959	-30.6749
1.138040	-29.1304
1.140350	-27.0734
1.142661	-27.5901
1.144930	-35.3009
1.147308	-26.0541
1.149470	-22.9773
1.151848	-13.7478
1.154009	-16.8344
1.155954	-17.8671
1.158116	-27.6095
1.160205	-21.9797
1.162904	-9.7041
1.165605	-22.5072
1.168312	-23.0266
1.171855	-7.7105
1.175231	-11.3047
1.178605	-30.2021
1.181983	-18.4806
1.185805	-38.8811
1.189669	-41.4315
1.193531	-40.4171
1.197392	-38.3876
1.201112	-26.7015
1.204427	-41.9588
1.207736	-37.9015
1.211720	-42.4811
1.215871	-34.3719
1.220014	-21.7070
1.224514	-21.7303
1.228078	-10.6008
1.231642	-21.2621
1.235208	-7.6092
1.238560	-8.6451
1.241084	-24.8591
1.243417	-36.5113
1.245556	-54.7359
1.246711	-47.1513
1.247402	-56.2600
1.247913	-52.7207
1.248594	-62.8400
1.249790	-59.8089
1.251585	-46.1604
1.253695	-48.6981
1.256144	-44.6645
1.258030	-43.1572
1.261412	-38.6260
1.265480	-32.5855
1.269393	-28.0630
1.273128	-26.0672
1.277158	-22.0549
1.279912	-17.5305
1.281927	-24.1079
1.284008	-27.1512
1.285907	-35.2400
1.287700	-46.3549
1.289492	-51.4124
1.291284	-47.8912
1.293052	-46.8933
1.294714	-44.8858
1.295876	-43.8845
1.297533	-46.9223
1.298527	-51.4688
1.299687	-38.3613
1.300847	-39.3782
1.302669	-40.3997
1.304656	-36.3791
1.307147	-30.8501
1.309636	-23.3053
1.311817	-22.3140
1.313479	-18.7981
1.315133	-23.8527
1.316317	-16.3005
1.318152	-25.8930
1.319532	-34.4727
1.320756	-41.0345
1.322469	-41.0473
1.324183	-41.5640
1.326007	-39.0580
1.328767	-42.1025
1.331820	-41.1179
1.335182	-38.6248
