Sea_level_m,CCD_p2.5,CCD_median,CCD_p97.5
14.524542713567836,4314.118761268015,4446.520279510547,4651.395916923979
15.296929648241203,4309.672769489214,4441.005844450074,4643.709158148882
16.069316582914567,4305.5103389791475,4435.2844539187345,4635.812040568794
16.841703517587934,4301.20004968181,4429.829016987736,4627.781124130678
17.6140904522613,4297.563468280702,4424.401776992223,4619.747752348446
18.38647738693467,4293.39966654369,4418.804185337503,4611.9677730193225
19.158864321608036,4288.659389308047,4413.334326132179,4604.0406070679965
19.9312512562814,4284.201428473922,4407.834214079403,4596.300157185296
20.70363819095477,4280.961483618289,4402.527919263432,4588.567832799581
21.476025125628134,4277.233820517886,4396.995304936647,4580.753074729177
22.248412060301504,4273.519949337678,4391.479468738291,4572.876028074593
23.020798994974868,4269.976259507983,4385.9815437115585,4565.440088158597
23.79318592964824,4266.139121911431,4380.40559991803,4557.755056273076
24.565572864321602,4262.121200623185,4374.875470048367,4549.747227619222
25.337959798994966,4258.074994395099,4369.542006094718,4541.561382710795
26.110346733668337,4253.54469527305,4364.15251741549,4533.4136741101665
26.8827336683417,4249.002120731691,4358.792750428157,4525.2925458008085
27.65512060301507,4243.909199274705,4353.496197389575,4517.421862865692
28.427507537688435,4238.179867651051,4347.9540117244,4509.825862627009
29.199894472361805,4232.9704984021,4342.71688145531,4501.95625135382
29.97228140703517,4227.810077751079,4337.551299382082,4494.099187246906
30.744668341708532,4222.998479189918,4332.325442805972,4486.440193771963
31.517055276381903,4217.6845832226345,4327.182508713,4478.534377899318
32.28944221105527,4212.223034126568,4322.068612875881,4470.826845516045
33.06182914572864,4206.5802686046345,4316.829225693315,4462.8930713712225
33.834216080402,4201.297204797002,4311.496675383829,4454.9677851450015
34.60660301507537,4195.62405621304,4306.37426428943,4447.155365205635
35.378989949748735,4190.229615132966,4301.2195068592955,4439.361797489561
36.151376884422106,4185.049953964546,4296.054028101924,4432.151290015903
36.92376381909547,4179.941564426812,4290.697113893803,4424.94988611334
37.69615075376883,4174.143512432982,4285.4286969567665,4417.076412868194
38.468537688442204,4168.64712202878,4279.969419866886,4409.391896171707
39.24092462311557,4163.333838146361,4274.498806958852,4401.934114164566
40.01331155778894,4158.186745732719,4268.905342745757,4394.831364086831
40.7856984924623,4152.588339962345,4263.58205246824,4388.165824211975
41.55808542713567,4147.486958408181,4258.245557323273,4381.322200053561
42.330472361809036,4142.16124497478,4252.716675907341,4374.197084285347
43.10285929648241,4136.620468948326,4247.1377080893935,4367.568393731913
43.87524623115577,4131.132862863604,4241.549725622966,4361.556706424184
44.647633165829134,4125.417105701094,4236.012232062269,4354.67561263848
45.420020100502505,4119.9182144677125,4230.501583151468,4348.349907384075
46.19240703517587,4114.434998128629,4225.078248909595,4342.256594538783
46.96479396984924,4108.747694588649,4219.337569827716,4335.8257455032435
47.7371809045226,4103.070286521687,4213.953421953939,4329.277634654861
48.509567839195974,4097.784537989853,4208.380031965167,4323.992134999276
