,gross_atmospheric_outflux_with_unbiased_rifts,gross_atmospheric_outflux_with_unbiased_rifts,gross_atmospheric_outflux_with_unbiased_rifts,gross_plate_influx_with_sed_unbiased_rifts,gross_plate_influx_with_sed_unbiased_rifts,gross_plate_influx_with_sed_unbiased_rifts,net_atmospheric_outflux_with_sed_unbiased_rifts,net_atmospheric_outflux_with_sed_unbiased_rifts,net_atmospheric_outflux_with_sed_unbiased_rifts
,min,mean,max,min,mean,max,min,mean,max
Age (Ma),,,,,,,,,
77,62.111436509559695,83.4694180744444,115.93514744472746,72.80146484119194,78.90738769242577,87.2034775852665,-22.901874034099905,4.562030382018634,45.32384964514242
78,62.18987870598409,82.01459303879655,115.90723853313368,73.1742143089397,79.33579937988398,87.68985657989725,-23.30750574484417,2.678793658912568,44.92549635326297
79,62.01335378880327,81.83806812161572,115.7018950273306,70.93446639886986,77.09431767417001,85.51274489207461,-21.240815160666898,4.743750447445706,47.02600457106517
80,62.499911696253605,84.24031658295543,115.5442093090338,71.27944064674375,77.50475692909693,86.00716873808423,-21.2301615151965,6.735559653858502,46.54186418892418
81,62.42924493592313,84.16964982262495,114.74741098999645,71.21542508341601,77.44158505490662,85.95833221290602,-21.238500090474112,6.7280647677183225,45.82257309308922
82,62.37907230612649,84.26758452781252,114.99291810036256,68.90676818085375,75.22898885604886,83.74998412294633,-19.17213722511748,9.038595671763659,48.28492451121117
83,67.12379662590232,93.4483602375796,126.8881902566258,69.55200757055768,76.1375260278366,84.78096938808054,-15.599247859213207,17.310834209743007,59.39410758903314
84,67.15758497383337,93.74845586591405,127.08037535892302,68.99264061093527,75.11922194711829,83.39145788235277,-14.088218309467948,18.629233918795762,60.23338934703921
85,67.20683675445574,93.79491853572311,127.87970449448956,69.84132743970271,76.01268160504168,84.30039425735895,-14.97719901592491,17.782236930681435,60.15473554176515
86,67.89982775567681,95.13032250038623,129.76330146245692,71.87515634668904,78.15787417310773,86.57748472842783,-16.54076424384961,16.9724483272785,60.0250378446693
87,68.45886638737991,95.488747875064,129.64316890107318,73.15480046373291,79.46858257804858,87.9737838165685,-17.32349830498434,16.020165297015424,58.679787561544515
88,68.55546943335696,95.58535092104106,129.67686051246798,73.23053068530126,79.56054608674518,88.12407779405832,-17.33509205483213,16.024804834295878,58.67984613303595
89,68.46813231535342,95.2508765132998,128.89812913434758,73.66894715437769,80.23217815513985,88.7522527576071,-18.327276840548592,15.018698358159952,57.18602558167498
90,67.9642235176055,93.4194894010697,129.0068288629827,74.83069205589634,81.23274449098282,89.9900651540663,-19.67057340846381,12.186744910086873,56.53140503508335
91,67.91167482054357,90.64911518665127,128.20968034439497,76.05378783629084,82.48656075150501,91.33214201445466,-21.007658846175616,8.162554435146262,54.56870085583961
92,66.42219053595636,90.06140443507245,126.27171930856373,80.96862638422719,87.28863925527904,96.32838329910109,-27.18646159037452,2.77276517979341,48.02282409710675
93,66.05330573820302,89.44382264271945,125.80710297524554,82.58930884118604,88.94190488890249,97.7556091177283,-29.24119519841591,0.5019177538169686,45.67890231516887
94,66.3228183362566,89.81603987610359,126.11949009404032,84.73738829649044,91.20062842259554,100.18245574069178,-31.341050212444046,-1.3845885464919547,43.90068898954101
95,65.74086851549467,89.53908922056668,126.1254525496515,85.03315851391127,91.5941666024065,100.77270314808104,-32.41430617540706,-2.0550773818398227,43.70982249291953
96,65.50918385294851,89.2626616596085,126.16604402653084,85.47392689024637,92.09314418884594,101.33054600822942,-33.203177634496996,-2.830482529237443,43.31030165706838
97,65.44407357149765,89.41097129613091,126.0399126677653,87.19698584087726,93.8373080299126,103.07631432005641,-35.0335566474503,-4.426336733781696,41.44161092799649
98,64.64993796639781,89.51299879236065,126.17360040284726,88.25643269934744,94.8812635652867,104.15223306265797,-36.856156464828146,-5.368264772926054,40.56330633493182
99,64.44881898795039,89.26761463465803,125.68798743528953,90.81729999394433,97.41882029164688,106.69032899094844,-39.57152160139904,-8.15120565698885,37.54067584294421
100,68.15293934126225,92.65326269921687,128.88340677802913,97.20346488540098,104.44584980911338,114.47225683463677,-43.53529539156354,-11.792587109896516,34.463963994439126
101,79.32052833660748,105.33239393446988,143.09839719590468,101.01117641070631,108.4134061321399,119.06853558885891,-36.495107516966,-3.08101219767002,45.340120520483794
102,78.79569232089926,104.1147506489123,142.66614246681004,110.87595290578795,118.02215395414323,127.97735795321387,-46.37266268159925,-13.907403305230929,34.59919251173744
103,78.65585845847554,104.05449058786803,141.7432182449976,115.59944125596978,122.62431039705606,132.45954033086437,-50.99332107966681,-18.569819809188033,28.954137781749836
104,74.49375560516432,102.09807175421622,139.64144969548147,122.95113222620357,130.01927971184793,139.8556512970627,-62.593671592327965,-27.921207957631708,19.458541568848318
105,73.86826927056336,100.25125032303431,137.6803511564159,128.08787571884542,135.15402340653486,144.97120756112528,-68.35190182366094,-34.90277308350055,12.343511904471455
106,73.67250968506346,98.87163202807083,135.61506911890953,131.8826740479701,138.7229616762785,148.31698139426703,-71.8907396195234,-39.85132964820765,6.4861271606195885
107,73.06147743260392,97.98831690302984,134.60166437750823,138.14708953880964,144.98737716711798,154.58139688510659,-78.76618736282241,-46.99906026408814,-0.7916930716211539
108,71.53731689202732,96.49320624947097,133.34520768382563,138.08014440546725,144.90899196881531,154.51662039323276,-80.20052264013606,-48.41578571934434,-1.9561558605722382
109,65.93413774786,86.48736056855685,120.90510603032396,137.14139866827693,144.0788179042301,153.89265778882861,-85.08209939232327,-57.591457335673255,-13.359871989307635
110,65.76051968582968,86.21681123932687,116.96333731095929,137.6788204824206,144.72499415461752,154.4837439004482,-86.01064814098476,-58.50818291529065,-18.00290709782756
111,63.86358718438017,84.45203340816438,113.37290226026609,138.42878062649447,145.5223416742019,155.02430124707502,-88.75231553752914,-61.070308266037514,-22.64747984106269
112,62.82852185654672,83.29770163057957,110.47604300099461,135.80433408088254,142.82726507726034,152.4815429923887,-87.0216742170914,-59.52956344668077,-22.696944161137353
113,60.349802153552154,82.03811055137633,109.93406072593564,134.3997746239413,141.46601970048738,151.09596803722368,-88.18246262348129,-59.427909149111045,-21.902010637815437
114,58.22169544156697,78.31138242338545,104.48649836664103,134.34657003140092,141.39766595154762,151.01859897001032,-90.22706643012737,-63.08628352816217,-27.2902345664439
115,59.71515167432739,80.09668010535198,107.27059218116793,132.6704713883911,139.70022643004575,149.37215463711686,-87.01482979737301,-59.60354632469377,-22.7577060418067
116,59.20301417811373,79.55425489380352,106.44233954631403,132.77307044829973,139.82311393152492,149.5211801574266,-87.67014323663636,-60.2688590377214,-23.682708159309186
117,57.83438458298315,78.29935161635059,105.14127761529602,131.11812415744265,138.18887583401326,147.92015132650477,-87.42524292760072,-59.88952421766267,-23.316322726225735
118,57.83438458298315,78.56196792680659,106.34624783255951,129.78125472614647,136.8373618049521,146.5986907821111,-86.0590843007746,-58.27539387814552,-20.7297849952336
119,58.08058493413235,78.83268168615464,108.42079456561888,128.04565583046556,135.20867309028426,145.01330490398178,-84.29110541597062,-56.37599140412962,-16.983246710967876
120,60.23700242905097,81.09200336860171,111.80249293323493,127.69817718383237,135.29259743945764,145.63097981972737,-82.65001526603194,-54.20059407085593,-13.151722125952972
121,67.66039567977481,92.30067106942366,115.66935276438892,130.50590651305427,138.9954042716019,150.3165327756977,-79.82450635037472,-46.69473320217824,-12.00492300311717
122,67.92225388302069,93.6935389125681,116.43437595142396,125.4012643531909,133.91648452376145,145.21557017953128,-74.50945081131132,-40.22294561119335,-6.183022916567666
123,68.84118853145426,94.40947011150466,116.62656267672932,111.23524838415472,119.94328966513064,131.47734924389832,-59.81014241465229,-25.533819553625975,8.217332590366368
124,70.51740938022812,94.46673510420482,117.29021658206956,110.50862634079417,119.25903927281524,130.73618281874752,-57.492042824608205,-24.79230416861043,9.508320855186597
125,73.6779932640429,94.92447855636632,117.76651768913976,110.40426777302392,119.16118209339427,130.75624481391355,-54.24010314972173,-24.23670353702795,10.200398316264767
