Age (Ma),time,ridge_outflux_min,ridge_outflux_mean,ridge_outflux_max,subduction_outflux_min,subduction_outflux_mean,subduction_outflux_max,carbonate_platform_outflux_min,carbonate_platform_outflux_mean,carbonate_platform_outflux_max,rift_outflux_non_biased_min,rift_outflux_non_biased_mean,rift_outflux_non_biased_max,rift_outflux_biased_min,rift_outflux_biased_mean,rift_outflux_biased_max,intraplate_volcanism_outflux_min,intraplate_volcanism_outflux_mean,intraplate_volcanism_outflux_max,gross_atmospheric_outflux_no_rift_min,gross_atmospheric_outflux_no_rift_mean,gross_atmospheric_outflux_no_rift_max,gross_atmospheric_outflux_unbiased_rift_min,gross_atmospheric_outflux_unbiased_rift_mean,gross_atmospheric_outflux_unbiased_rift_max,gross_atmospheric_outflux_biased_rift_min,gross_atmospheric_outflux_biased_rift_mean,gross_atmospheric_outflux_biased_rift_max,net_atmospheric_influx_unbiased_and_sed_min,net_atmospheric_influx_unbiased_and_sed_mean,net_atmospheric_influx_unbiased_and_sed_max,net_atmospheric_influx_biased_and_sed_min,net_atmospheric_influx_biased_and_sed_mean,net_atmospheric_influx_biased_and_sed_max,gross_upper_plate_influx_with_sed_min,gross_upper_plate_influx_with_sed_mean,gross_upper_plate_influx_with_sed_max
65,65.0,19.240343356245884,23.724318107207132,28.208292858168388,3.2527525730544866,4.298142251870387,8.077993244087324,42.27398877122569,59.14229106047124,90.49701090517814,9.381267986395745,10.463721984826023,11.546175983256301,9.381267986395745,10.463721984826023,11.546175983256301,3.0,6.0,9.0,67.76708470052606,93.16475141954876,135.78329700743387,77.1483526869218,103.62847340437479,147.32947299069016,77.1483526869218,103.62847340437479,147.32947299069016,-33.47240140621035,-1.01672927038193,50.54705362241336,-33.47240140621035,-1.01672927038193,50.54705362241336,98.66965125638129,104.64520267475672,112.50798598123663
66,66.0,19.64619159894772,24.188038889637145,28.729886180326577,2.822800378499869,3.837845143010633,7.589217006759147,43.57347745750245,59.93871947900116,95.15687875112904,9.381267986395745,10.463721984826023,11.546175983256301,9.381267986395745,10.463721984826023,11.546175983256301,3.0,6.0,9.0,69.04246943495004,93.96460351164893,140.47598193821477,78.42373742134578,104.42832549647495,152.02215792147106,78.42373742134578,104.42832549647495,152.02215792147106,-23.619892649596295,8.304722756377558,63.85531300830456,-23.619892649596295,8.304722756377558,63.85531300830456,90.20357540925272,96.1236027400974,104.0803605670283
67,67.0,19.64619159894772,24.188038889637145,28.729886180326577,2.3707534834342905,3.37428103949065,7.114436113663664,43.57347745750245,59.93871947900116,95.15687875112904,8.84843463852795,9.869407866050405,10.890381093572861,8.84843463852795,9.869407866050405,10.890381093572861,3.0,6.0,9.0,68.59042253988446,93.50103940812895,140.00120104511927,77.4388571784124,103.37044727417936,150.89158213869214,77.4388571784124,103.37044727417936,150.89158213869214,-22.278906925829176,9.56406700117492,64.96165112914625,-22.278906925829176,9.56406700117492,64.96165112914625,87.89499644176729,93.80638027300444,101.68282953646298
68,68.0,19.64619159894772,24.188038889637145,28.729886180326577,2.1516930017615357,3.053520721567926,6.616287357059626,42.16223287640104,59.14229106047124,95.15687875112904,8.84843463852795,9.869407866050405,10.890381093572861,8.84843463852795,9.869407866050405,10.890381093572861,3.0,6.0,9.0,66.9601174771103,92.3838506716763,139.50305228851525,75.80855211563825,102.25325853772671,150.39343338208812,75.80855211563825,102.25325853772671,150.39343338208812,-22.94072408257574,9.308430363315466,65.20973115960683,-22.94072408257574,9.308430363315466,65.20973115960683,87.1403801506085,92.94482817441124,100.7059541263412
69,69.0,19.64619159894772,24.188038889637145,28.729886180326577,2.4220779714841836,3.142412867306058,6.333099646621627,41.40927556535077,59.113078317585064,89.29662100944178,8.84843463852795,9.869407866050405,10.890381093572861,8.84843463852795,9.869407866050405,10.890381093572861,3.0,6.0,9.0,66.47754513578266,92.44353007452827,133.35960683639,75.32597977431061,102.31293794057868,144.24998792996286,75.32597977431061,102.31293794057868,144.24998792996286,-16.623653790370923,16.085819510960874,65.80041241595377,-16.623653790370923,16.085819510960874,65.80041241595377,80.50460329455407,86.2271184296178,94.00466134522652
70,70.0,19.64619159894772,24.188038889637145,28.729886180326577,2.44264296130178,3.1784061893724975,6.450601280905992,37.74085209286385,56.47489013274667,88.68104635917848,8.84843463852795,9.869407866050405,10.890381093572861,8.84843463852795,9.869407866050405,10.890381093572861,3.0,6.0,9.0,62.82968665311334,89.84133521175632,132.86153382041104,71.67812129164129,99.71074307780673,143.7519149139839,71.67812129164129,99.71074307780673,143.7519149139839,-16.920220633482515,16.838906096562837,68.61661778724202,-16.920220633482515,16.838906096562837,68.61661778724202,77.14533203736397,82.87183698124389,90.60837683574589
71,71.0,19.64619159894772,24.188038889637145,28.729886180326577,2.491412194942495,3.142749327729835,6.436389309950162,37.74085209286385,55.21218607162274,84.58715145316825,8.84843463852795,9.869407866050405,10.890381093572861,8.84843463852795,9.869407866050405,10.890381093572861,3.0,6.0,9.0,62.87845588675406,88.54297428898971,128.753426943445,71.72689052528202,98.41238215504012,139.64380803701786,71.72689052528202,98.41238215504012,139.64380803701786,-16.356865553072055,16.05625391217538,65.03138136960601,-16.356865553072055,16.05625391217538,65.03138136960601,76.62850040737541,82.35612824286474,90.09982981831763
72,72.0,19.12215696266891,23.628894038093243,28.149090851243287,2.491412194942495,3.114798616542238,6.406226224874971,34.31746223143951,48.51000625599811,68.6094881760125,8.84843463852795,9.869407866050405,10.890381093572861,8.84843463852795,9.869407866050405,10.890381093572861,3.0,6.0,9.0,58.931031389050915,81.25369891063359,112.16480525213076,67.77946602757886,91.123106776684,123.05518634570362,67.77946602757886,91.123106776684,123.05518634570362,-18.893779504777072,10.19520887751385,49.96052573967495,-18.893779504777072,10.19520887751385,49.96052573967495,75.18255026598436,80.92789789917015,88.76113519231163
73,73.0,18.82829661337551,23.4886937323094,28.135631113517565,2.53409821503264,3.002776898419849,6.13594638531546,32.474889828561736,46.64002882869576,67.17609446369691,8.84843463852795,9.869407866050405,10.890381093572861,8.84843463852795,9.869407866050405,10.890381093572861,3.0,6.0,9.0,56.837284656969885,79.13149945942502,110.44767196252994,65.68571929549783,89.00090732547542,121.3380530561028,65.68571929549783,89.00090732547542,121.3380530561028,-20.511446503241785,8.462633778581392,48.63111438024383,-20.511446503241785,8.462633778581392,48.63111438024383,74.87938129504845,80.53827354689403,88.3696084179291
74,74.0,17.525817983659483,21.935014619414545,26.344211255169597,2.6969217548516635,3.0127417512254193,6.249979399273797,30.888506248806166,44.84991615516309,64.27971670994094,8.84843463852795,9.869407866050405,10.890381093572861,8.84843463852795,9.869407866050405,10.890381093572861,3.0,6.0,9.0,54.11124598731731,75.79767252580305,105.87390736438434,62.95968062584526,85.66708039185346,116.76428845795719,62.95968062584526,85.66708039185346,116.76428845795719,-24.35997906994144,4.287274554960334,43.51255100230712,-24.35997906994144,4.287274554960334,43.51255100230712,75.43995197799956,81.37980583689313,89.50787421813618
