,net_carbon_outflux,net_carbon_outflux,net_carbon_outflux,net_carbon_outflux_with_sediment_storage,net_carbon_outflux_with_sediment_storage,net_carbon_outflux_with_sediment_storage,net_carbon_outflux_with_sediment_storage_biased,net_carbon_outflux_with_sediment_storage_biased,net_carbon_outflux_with_sediment_storage_biased,ratschbacher_net_carbon_outflux,ratschbacher_net_carbon_outflux,ratschbacher_net_carbon_outflux
,min,mean,max,min,mean,max,min,mean,max,min,mean,max
Age (Ma),,,,,,,,,,,,
29,72.43540071843371,123.98225867373117,165.01001795676467,45.01185223843371,93.12830991373116,130.72566942676468,45.01185223843371,93.12830991373116,130.72566942676468,7.5705954056737355,24.920976092735707,38.400363071448716
30,73.3558212870752,123.83988683390604,165.52286203112493,46.3348489470752,93.43706366390603,131.73818803112493,46.3348489470752,93.43706366390603,131.73818803112493,6.869366027895339,24.868977533853624,38.87574749366623
31,75.20454221297462,124.10497318665072,165.36050330402418,48.38595420297462,93.92436299665073,131.81787116402418,48.38595420297462,93.92436299665073,131.81787116402418,7.658255836717501,25.22443716754134,39.04265601933086
32,74.90632534101499,124.12471319978815,165.4886816116899,50.779975851014996,96.97569434978814,135.31699303168992,50.779975851014996,96.97569434978814,135.31699303168992,7.664281449437233,25.33455046162178,39.48604876951223
33,74.57985862154297,123.14138991192485,161.88405691012963,54.46604605154297,100.51086975192484,136.73682878012963,54.46604605154297,100.51086975192484,136.73682878012963,8.007586620537111,25.14422783381098,39.35681952342351
34,74.3639831325545,119.79012131098965,160.9480090290993,54.71784830255449,97.69382828098965,136.4015577090993,54.71784830255449,97.69382828098965,136.4015577090993,7.276890516803434,24.648436004712053,38.506060644274974
35,68.65686541412012,111.49641186985684,151.41003067468958,49.838051144120115,90.32146402985684,127.87894904468958,49.838051144120115,90.32146402985684,127.87894904468958,2.0600467893220085,18.266389766296157,31.374035175938403
36,66.70214317325932,109.63641240972956,149.1770999988257,48.797041583259315,89.48964162972956,126.7886603388257,48.797041583259315,89.48964162972956,126.7886603388257,0.6729959679278039,16.503019519652,29.72227616261445
37,64.99401827878367,103.2177802398789,144.99723568453058,47.19214217878367,83.1918511498789,122.74725355453057,47.19214217878367,83.1918511498789,122.74725355453057,0.46457330600613744,16.420036856171365,29.94577242371077
38,60.853708678760036,100.613477367663,142.41969371272899,43.159072708760036,80.703525067663,120.29442500272899,43.159072708760036,80.703525067663,120.29442500272899,-0.8413836776989498,15.367933649200658,29.00838480016602
