Age (Ma),GAST_min,GAST_mean,GAST_max,average_min,average_mean,average_max
81,21.9737658086458,26.89701240321125,31.8202589977767,22.3624233,23.622490598666666,25.72333333333333
82,22.9083018494692,27.883169798667254,32.8580377478653,22.26816,23.940335869999995,25.778384550000002
83,23.8129648392641,28.8505631058457,33.8881613724273,22.16914,24.18237022266667,26.452208180000003
84,24.67550950642,29.78563815844675,34.8957668104735,22.07012,24.772166976666668,26.713333333333335
85,25.4863735184872,30.67662627521565,35.8668790319441,21.9711,25.304876134666664,28.893333333333334
86,26.2382301797481,31.5135010970083,36.7887720142685,21.7105,25.608286496666665,30.123333333333335
87,26.9253835807398,32.28783244871135,37.6502813166829,21.4499,25.71007825333333,30.016666666666666
88,27.5430263401339,32.99254152390285,38.4420567076718,21.1893,25.949382307333337,30.55666666666667
89,28.0866752447704,33.62171197542805,39.1567487060857,20.9287,26.35916454733333,31.246666666666666
90,28.5518653848282,34.1704972369855,39.7891290891428,20.6681,26.605586346666666,31.95333333333333
91,28.9340751855183,34.63510571978425,40.3361362540502,21.11974,26.85692083,32.35
92,29.2282647592364,35.01252516836285,40.7967855774893,21.57138,27.013743834666666,32.21333333333333
93,29.4286492107868,35.3003188320422,41.1719884532976,22.02302,26.898599183333335,31.54666666666667
94,29.5293830915301,35.496899308447354,41.4644155253646,22.47466,26.16020445,29.26
95,29.525596905811,35.6019505394198,41.6783041730286,22.9263,25.36866803866667,28.133333333333336
96,29.4145716653429,35.6168936755542,41.8192156857655,23.23744,24.970629073999998,27.38
97,29.1969319376389,35.5453491191213,41.8937663006037,23.2045,24.511948776,27.28
98,28.877798239272,35.3935691952793,41.9093401512866,21.61126909,23.840839204666665,26.27333333333333
99,28.4678918538078,35.170842088738496,41.8737923236692,20.65289182,23.272895044000002,25.179999999999996
100,27.9835015499528,34.889326180765394,41.795150811578,20.246296360000002,22.994113732,24.929999999999996
101,27.4452095069201,34.5632682938295,41.6813270807389,20.17998273,22.734503605999997,24.47804
102,26.8756100628735,34.2077279768813,41.5398458908891,20.12186091,22.511601268666666,24.47408
103,26.2969511490437,33.837278399827696,41.3776056506117,20.07191091,22.286902222,24.47012
104,25.7291213793494,33.46490094303065,41.2006805067119,19.85811364,21.993637481333334,24.46616
105,25.1881099045454,33.10114202612335,41.0141741477013,19.564989089999997,21.66509959133333,24.4622
106,24.6852343510752,32.7536345021436,40.822034653212,19.324177270000003,21.353679640666666,24.48214
107,24.2271909465313,32.42692944294435,40.6266679393574,19.13347818,21.159953982666668,24.50208
108,23.8163258747902,32.1226034288618,40.4288809829334,18.90650182,21.032247124,24.52202
109,23.4510111375685,31.83973659354575,40.228462049523,18.642226360000002,20.972440058666667,24.54196
110,23.1262818296981,31.5754981316832,40.0247144336683,18.36704182,20.852632457333335,24.5619
111,22.8347238004572,31.32575874608395,39.8167936917107,18.170728179999998,20.78485188266667,24.42856
112,22.5675526937722,31.0857414006092,39.6039301074462,17.967365450000003,20.650825016666666,24.29522
113,22.3156523081083,30.850612739378853,39.3855731706494,17.75309364,20.63831288133333,24.16188
114,22.0704489110314,30.6159590886701,39.1614692663088,17.64714455,20.766493636666663,24.02854
115,21.8246789164923,30.3781810492074,38.9316831819225,17.65477818,21.075971569333337,23.8952
116,21.5731041618762,30.1351627446911,38.697221327506,17.62968455,21.429606803333332,23.92402
117,21.3128405298262,29.887143971738247,38.4614474136503,17.82745364,21.859728368,23.95284
118,21.0429648648721,29.6356617819309,38.2283586989897,18.29684545,22.00027435666667,23.98166
119,20.7638117699717,29.38243828078975,38.0010647916078,18.799738180000002,22.027578996,24.01048
120,20.4759185291535,29.128502434429002,37.7810863397045,19.31337182,22.192554723999997,24.0393
121,20.1785476433134,28.87337550184475,37.5682033603761,19.87610636,22.124336165333332,23.8351678
122,19.8693468799106,28.61499642641855,37.3606459729265,20.47476182,22.045718504,23.56974
123,19.5440066682449,28.34973966293935,37.1554726576338,20.78805818,21.802096975999998,23.33496
124,19.196785567881,28.0729048303267,36.9490240927724,20.61815,21.544336131999998,23.10018
125,18.8216882583779,27.77953180737505,36.7373753563722,20.1178,21.186248331999998,22.8654
126,18.4136081321078,27.4651725049389,36.51673687777,19.686666666666664,20.777766469333333,22.66466
127,17.9690505401643,27.126413206258498,36.2837758723527,20.156653,20.872681630666666,22.46392
128,17.486873070698,26.761359480468002,36.035845890238,19.6153789,20.868113900666668,22.26318
129,16.9688695714173,26.36999648974955,35.7711234080818,19.59086091,21.071263228666666,23.25333333333333
130,16.4198149923122,25.9542365252644,35.4886580582166,19.03094273,20.854853232666663,21.94333333333333
131,15.847030328263,25.517682837010852,35.1883353457587,18.43693273,20.805825585999997,22.00298
132,15.2598314895345,25.06527753089285,34.8707235722512,17.83475091,20.590413955333332,22.14426
133,14.6689837172461,24.6029219992175,34.5368602811889,17.25682727,20.036406914,22.28554
134,14.0860184510752,24.13704646528695,34.1880744794987,16.810850910000003,19.476059295333336,22.42682
135,13.5224154341387,23.67412385647765,33.8258322788166,16.36761182,18.914288097333333,22.5681
136,12.9887696160038,23.2201867582749,33.451603900546,15.92709,18.5538139,22.43548
137,12.494052425653,22.78040986679025,33.0667673079275,15.48929545,18.473799876666668,22.30286
138,12.0448334039169,22.3586958977847,32.6725583916525,15.054228179999999,18.497408662666665,22.17024
139,11.6446755558253,21.95737306766435,32.2700705795034,14.638533640000002,18.553827854666668,22.03762
140,11.2939663600645,21.57713383142245,31.8603013027804,14.36548182,18.304951037333332,21.905
141,10.9906927159533,21.217507312430598,31.4443219089079,14.089702730000003,18.11812935266667,21.71666
142,10.7313674690241,20.877545387001952,31.0237233049798,13.81119636,17.90920133866667,21.52832
143,10.5115753060407,20.556192307864798,30.6008093096889,13.529962729999998,17.921100426000002,21.33998
144,10.3266355986988,20.252648106402148,30.1786606141055,13.25418364,17.887616348,21.15164
145,10.1722376311086,19.9666839548131,29.7611302785176,13.138439089999999,17.80300035133333,20.9633
146,10.0448690191193,19.6988127963508,29.3527565735823,13.09026909,18.05792230466667,20.8951
147,9.94171462380932,19.45014920586036,28.9585837879114,13.04755364,18.164893627999998,20.8269
148,9.86010909005054,19.22199889419767,28.5838886983448,13.01029273,18.280843646,20.7587
149,9.79740370172897,19.015611814593985,28.233819927459,12.970294549999998,18.378863889999998,20.6905
150,9.75100294093621,18.831986335449756,27.9129697299633,13.020879089999998,18.479632778,20.6223
151,9.71839644953337,18.671654937967286,27.6249134264012,13.103546360000003,18.63530979866667,20.76876
152,9.69718890575067,18.534480236440483,27.3717715671303,13.18349636,18.869860778666666,20.91522
153,9.68512921215147,18.419502134449434,27.1538750567474,13.260709089999999,19.24309424466667,21.06168
154,9.68013903101578,18.32489216503399,26.9696452990522,13.53877455,19.821840396666666,22.53333333333333
155,9.68033954532659,18.248090547557396,26.8158415497882,13.856732730000001,19.992915686,22.099999999999998
156,9.68407466572641,18.186147632724854,26.6882205997233,14.171963640000001,19.973065334666664,22.1551897
157,9.68992895548975,18.135970086459025,26.5820112174283,14.51175727,19.708243434,22.1996199
158,9.69673918972632,18.09438556893371,26.4920319481411,15.01341364,19.772415114666664,21.40044
159,9.70359905821016,18.05835217897738,26.4131052997446,15.50417091,19.603101695333333,21.41572
160,9.70985678222717,18.025267514647535,26.3406782470679,16.002969089999997,19.249197991333332,21.431
161,9.71510545195068,17.99326404432304,26.2714226366954,16.64774818,19.109563662666666,21.51806
162,9.71916594552579,17.961430046002945,26.2036941464801,17.28161818,19.319602302666667,21.60512
163,9.72206248914074,17.92987072255817,26.1376789559756,17.894549089999998,20.042363251333335,21.69218
164,9.72399129030183,17.899477403661717,26.0749635170216,18.48565727,20.703066494,22.09
165,9.72528325916134,17.87121757698237,26.0171518948034,19.079492730000002,21.405426612666666,24.013333333333332
166,9.72636255580831,17.845208527219803,25.9640544986313,19.64156545,21.84639357,24.48
167,9.7277034052944,17.82134044911885,25.9149774929433,20.10601545,22.289730883333334,25.386666666666667
168,9.7297881148003,17.7995613104729,25.8693345061455,20.57318273,22.147023399333335,23.69666666666667
169,9.73306940879693,17.779863460892663,25.8266575129884,21.043087269999997,22.087418874,23.090000000000003
170,9.73794003780134,17.76227310546012,25.7866061731189,21.32176909,22.123362558000004,23.23
171,,,,21.4793847,22.148981242666665,23.583333333333332
172,,,,21.54882,22.203063489999998,23.61
173,,,,21.44386,22.411927316000003,23.790000000000003
174,,,,21.33889,23.096965810666667,26.473333333333333
175,,,,21.23393,23.341118209999998,26.959999999999997
176,,,,21.64799,23.556510338,27.080000000000002
177,,,,22.06204,23.44010713933333,25.876666666666665
178,,,,21.9639,23.619300451999997,26.599999999999998
179,,,,21.8068,23.445291203333333,25.80666666666667
180,,,,21.6497,23.08681956733333,24.766666666666666
181,,,,21.60828,22.219250770000002,22.73902455
182,,,,20.34,21.567299951999995,22.88564636
183,,,,19.62,21.180352226000004,23.06772273
184,,,,19.626666666666665,20.918087511333333,23.21979909
185,,,,19.6472769,21.00701047,23.341885450000003
186,,,,19.91311,21.352712804,23.40091182
187,,,,20.04294,21.721727342666668,23.41885818
188,,,,20.17276,21.84417947,23.40681455
189,,,,20.30258,21.831020556,23.39748818
190,,,,20.4324,21.842407424666668,23.39089909
191,,,,20.58078,21.904255900666666,23.387027269999997
192,,,,20.72916,22.090433372666666,23.57992
193,,,,20.87754,22.282910910000002,24.01108
194,,,,21.02592,22.459096118666665,24.44224
195,,,,21.1743,22.706008583333336,24.8734
196,,,,21.2,22.421488966000002,24.79342
197,,,,20.426666666666666,22.294291729333334,24.71344
198,,,,19.750000000000004,22.244711784,24.63346
199,,,,19.360000000000003,22.474811245999998,24.55348
200,,,,16.843333333333334,22.01204376866667,24.4735
201,,,,15.12,21.192269951999997,24.39298
202,,,,16.166666666666668,21.124972011333334,24.31246
203,,,,18.7,21.513032978000002,24.23194
204,,,,20.186666666666667,21.863757161333332,24.15142
205,,,,20.92794,22.175767345999997,24.0709
206,,,,21.39764,22.497738732,23.70408
207,,,,21.86734,22.78044428333333,23.46320455
208,,,,22.33704,23.087598493999998,23.8130452
209,,,,22.60362,23.413575340666668,24.4297261
210,,,,22.2368,23.76830241,25.0040975
211,,,,22.40176,24.078292851333334,25.4969785
212,,,,22.56672,24.33553326866667,26.213333333333335
213,,,,22.73168,24.265285986666665,26.603333333333335
214,,,,22.89664,24.384295064000003,26.45
215,,,,23.0616,24.330551492,25.75
216,,,,22.9062,24.13951982133333,25.2134888
217,,,,22.72094,23.946594401333332,24.7596617
218,,,,22.53567,23.769677592,24.696956359999998
219,,,,22.3504,23.55396262,24.78338
220,,,,21.580000000000002,23.300624210000002,24.82889455
221,,,,21.12,23.152401880000003,24.83349
222,,,,21.07,23.141511512,24.78123636
223,,,,21.429999999999996,23.231334347999997,24.65657364
224,,,,21.790000000000003,23.359409730000003,24.60894
225,,,,22.189999999999998,23.496719944,24.6562
226,,,,22.63,23.554264965999998,24.40238
227,,,,22.83298,23.634215836,24.18614818
228,,,,22.82689,23.687969276,24.2354182
229,,,,22.8208,23.711264407999998,24.5806084
230,,,,22.81471,23.700160883333332,24.7126032
231,,,,22.76532,23.584972822,24.6121932
232,,,,22.71593,23.380476139333332,24.2238413
233,,,,22.363333333333333,22.903835506666667,23.7202242
234,,,,22.410419089999998,22.86872857133333,23.4494271
235,,,,22.45464,22.81003118,23.3895559
236,,,,22.57552273,23.228500539333332,24.46666666666667
237,,,,22.29672,23.417971314,25.060000000000002
238,,,,21.93098,23.887296094666667,26.923333333333336
239,,,,21.56524,24.14615068866667,27.483333333333334
240,,,,21.1995,24.247972858000004,27.28
241,,,,20.36966,24.456600136,27.5
242,,,,19.53982,24.909200229333333,28.906666666666666
243,,,,18.70998,25.223769258,29.669999999999998
244,,,,17.88014,24.958127056666665,28.0836074
245,,,,17.0503,24.519736916666666,28.1129467
246,,,,17.78842,24.599317558000003,28.1122787
247,,,,18.52654,25.63289696933333,30.59485818
248,,,,19.26466,26.846622124,33.10894182
249,,,,20.00278,27.46177794866667,33.10177091
250,,,,20.7409,27.506370256666667,33.65323545
251,,,,20.65246,26.19362665666667,35.17379545
252,,,,20.56402,24.613563655333333,31.54452091
253,,,,19.439999999999998,21.692761564,25.018561820000002
254,,,,19.4284845,20.244709082,21.23819091
255,,,,19.1224153,20.037994029333333,21.136666666666667
256,,,,19.23355,20.047150321333334,21.94666666666667
257,,,,18.50954,20.150784694000002,22.450000000000003
258,,,,17.61496,20.064765751333333,21.636666666666667
259,,,,16.72038,19.865081844000002,21.64
260,,,,15.8258,19.249770976666667,21.26836545
261,,,,15.73356,18.833590286666663,20.605529999999998
262,,,,15.64132,18.218429790000002,19.74395545
263,,,,15.54908,17.880526344,19.54925
264,,,,15.45684,17.489533097333336,19.53077
265,,,,15.3646,17.295112983333333,19.51228
266,,,,15.32036,17.295969272666667,19.49381
267,,,,15.27612,17.330411421333334,19.47533
268,,,,15.23188,17.176958262666666,19.45686
269,,,,14.75655455,16.806450903333335,19.43838
270,,,,14.217642730000001,16.495135039333334,19.4199
271,,,,13.676042729999999,15.997665552666666,17.7148
272,,,,13.11263455,15.60348075666667,16.483333333333334
273,,,,12.527398179999999,15.127095082666665,17.00298
274,,,,11.91694455,14.51186755,17.62284
275,,,,10.89437,13.934932101333334,18.2427
276,,,,10.67203,13.701324863333332,18.19406
277,,,,10.31717,13.70041938,18.14542
278,,,,9.847597270000001,13.577803267333332,18.09678
279,,,,9.50212545,13.356991136666664,18.04814
280,,,,9.50727455,13.056360609999999,17.9995
281,,,,9.74190455,13.09924793,17.81524
282,,,,10.100635449999999,13.335321976666666,17.63098
283,,,,10.783147269999997,13.793958467333335,17.44672
284,,,,11.37006091,14.239847702,17.26246
285,,,,11.83015636,14.650226572,17.0782
286,,,,12.163433640000001,14.553310128000001,16.86044
287,,,,12.08805,14.296074045999998,16.64268
288,,,,10.78452,13.863548328000002,16.42492
289,,,,9.48099,13.276505922666667,16.20716
290,,,,8.177463,12.887560165333335,15.9894
291,,,,8.350533,12.709611142666668,15.86552
292,,,,8.523603,12.495563108,15.74164
293,,,,8.696673,12.400985892666668,15.61776
294,,,,8.869742,12.382037783333335,15.49388
295,,,,9.042812,12.497387317999998,15.37
296,,,,9.518626,12.453356898666666,15.22462
297,,,,9.99444,12.850639845333333,15.07924
298,,,,10.47025,13.263419584666668,14.93386
299,,,,10.94607,13.893450506666667,16.633333333333336
300,,,,11.42188,14.332519504666667,18.293333333333333
301,,,,11.47756,14.491578625333332,19.396666666666665
302,,,,11.53323,14.40273525066667,18.763333333333335
303,,,,11.58891,14.952392410000002,18.110000000000003
